,cumulative_net_pnl
2026-03-13 10:13:00,-4368.806265640504
2026-03-13 10:14:50,-43847.417656442754
2026-03-13 10:14:50,19691845.30778351
2026-03-13 10:15:20,19682932.058052838
2026-03-13 10:23:40,19735282.690296676
2026-03-13 10:23:40,19783307.36910885
2026-03-13 10:24:20,19812913.02527493
2026-03-13 10:24:20,19828959.172513165
2026-03-13 10:24:20,19856223.46655868
2026-03-13 10:27:20,19908744.983114075
2026-03-13 10:29:30,19935760.18603722
2026-03-13 10:30:30,20040399.07976477
2026-03-13 10:33:10,20141718.85481525
2026-03-13 10:33:10,20242988.08413679
2026-03-13 10:33:20,20354082.407005403
2026-03-13 10:35:10,20422927.279625032
2026-03-13 10:55:00,20439729.91591314
2026-03-13 10:59:00,20499120.184493657
2026-03-13 10:59:20,20614901.85949376
2026-03-13 10:59:30,20687311.058908425
2026-03-13 11:01:20,20704570.035814825
2026-03-13 11:02:10,20767051.812219728
2026-03-13 11:02:10,20771454.220852695
2026-03-13 11:15:00,20764404.939817853
2026-03-13 11:15:40,20694746.722039342
2026-03-13 11:15:50,20605448.005588528
2026-03-13 11:23:10,20454452.603284206
2026-03-13 11:25:00,20411071.946764015
2026-03-13 11:27:20,20366901.856819756
2026-03-13 11:27:50,20358203.668694556
2026-03-13 11:32:00,20347612.658751607
2026-03-13 11:33:00,20314164.01597122
2026-03-13 11:40:40,20131509.884887837
2026-03-13 11:41:00,20061214.635384873
2026-03-13 11:41:00,19983106.35060572
2026-03-13 11:43:10,19864879.72647345
2026-03-13 11:44:10,19728146.435945924
2026-03-13 11:44:10,19667026.684521873
2026-03-13 11:44:10,19649056.48623176
2026-03-13 11:50:40,19722032.430838805
2026-03-13 11:50:40,19737337.636725273
2026-03-13 11:51:10,19729946.151544962
2026-03-13 11:56:20,19695006.792718515
2026-03-13 12:00:20,19597644.782162845
2026-03-13 12:03:20,19550968.795826226
2026-03-13 12:07:30,19425135.878285807
2026-03-13 12:08:10,19405090.3973008
2026-03-13 12:09:40,19373201.628047317
2026-03-13 12:16:00,19268600.12019758
2026-03-13 12:18:10,19188152.24258331
2026-03-13 12:19:40,19086891.862712543
2026-03-13 12:24:30,19050065.11965933
2026-03-13 12:24:30,19013408.444212288
2026-03-13 12:24:30,18977234.943858527
2026-03-13 12:28:10,18834409.375292525
2026-03-13 12:28:10,18783774.421543017
2026-03-13 12:31:40,18722266.44159872
2026-03-13 12:32:20,18672045.358301923
2026-03-13 12:32:40,18621847.269600384
2026-03-13 12:32:50,18563362.870472625
2026-03-13 12:36:20,18485427.631366305
2026-03-13 12:36:20,18435264.49570612
2026-03-13 12:36:20,18426175.44544025
2026-03-13 12:37:00,18397856.273714982
2026-03-13 12:37:00,18370121.41692391
2026-03-13 12:38:30,18342007.950442657
2026-03-13 12:38:30,18314148.69698088
2026-03-13 12:38:30,18286793.686249
2026-03-13 12:41:30,18259087.58197737
2026-03-13 12:41:40,18223329.418697264
2026-03-13 12:43:10,18168938.622685112
2026-03-13 12:45:40,18135768.310907956
2026-03-13 12:50:50,18102659.410472274
2026-03-13 12:50:50,18074749.310381822
2026-03-13 12:51:00,18057562.595221337
2026-03-13 12:54:30,18088481.664967213
2026-03-13 13:02:10,18106731.532773722
2026-03-13 13:25:10,17928595.105043605
2026-03-13 13:25:10,17854432.0674393
2026-03-13 13:26:40,17731855.255270313
2026-03-13 13:26:40,17679581.25281737
2026-03-13 13:26:40,17661123.707200088
2026-03-13 13:27:50,17583882.61662131
2026-03-13 13:27:50,17523464.23173734
2026-03-13 13:27:50,17514413.624967664
2026-03-13 13:34:10,17445194.797716696
2026-03-13 13:35:50,17313958.31024305
2026-03-13 13:36:20,17269274.24082029
2026-03-13 13:36:30,17216491.3699935
2026-03-13 13:40:10,17114507.240677007
2026-03-13 13:40:10,17053800.612104297
2026-03-13 13:40:20,17035805.95235031
2026-03-13 13:46:20,17066130.22141546
2026-03-13 13:47:00,17105738.49040828
2026-03-13 13:48:20,17126089.975622978
2026-03-13 13:48:20,17089497.204686787
2026-03-13 13:48:20,17081628.54376868
2026-03-13 13:55:20,17024480.841161232
2026-03-13 13:57:50,16990721.4084754
2026-03-13 13:57:50,16972161.681147385
2026-03-13 13:57:50,16963591.650550302
2026-03-13 14:11:50,16971072.46447737
2026-03-13 14:22:20,17002583.66110195
2026-03-13 14:22:20,16986585.196070768
2026-03-13 14:35:10,16979879.15615223
2026-03-13 14:35:30,16967446.262578014
2026-03-13 14:37:20,16914049.6470849
2026-03-13 14:40:10,16889684.46528339
2026-03-13 14:57:30,16867003.329857122
2026-03-13 15:05:00,16814856.152264845
2026-03-13 15:09:40,16853198.44349178
2026-03-13 15:20:10,16700323.053382829
