,cumulative_net_pnl
2026-03-13 10:13:00,-4531.910989238556
2026-03-13 10:14:50,-45302.65051446051
2026-03-13 10:14:50,19689424.10731419
2026-03-13 10:15:20,19679552.606278215
2026-03-13 10:23:40,19730347.32049456
2026-03-13 10:23:40,19776218.360499028
2026-03-13 10:24:20,19803478.077747308
2026-03-13 10:24:20,19817592.062117387
2026-03-13 10:24:20,19843319.61738067
2026-03-13 10:27:20,19893418.91013154
2026-03-13 10:29:30,19918801.838037115
2026-03-13 10:30:30,20020619.426335853
2026-03-13 10:33:10,20121123.513246786
2026-03-13 10:35:10,20189650.96586065
2026-03-13 10:55:00,20205187.33565432
2026-03-13 10:59:00,20263526.645585254
2026-03-13 10:59:20,20378251.874124464
2026-03-13 10:59:30,20447390.60011084
2026-03-13 11:01:20,20463199.902661305
2026-03-13 11:02:10,20522533.03944867
2026-03-13 11:02:10,20524475.93509776
2026-03-13 11:15:00,20516258.398987778
2026-03-13 11:15:40,20445432.97813262
2026-03-13 11:15:50,20354102.80630728
2026-03-13 11:23:10,20201076.404220786
2026-03-13 11:25:00,20155665.078600407
2026-03-13 11:27:20,20108378.28422724
2026-03-13 11:27:50,20097557.978679087
2026-03-13 11:32:00,20083539.981446747
2026-03-13 11:33:00,20048276.06457264
2026-03-13 11:40:40,19863183.616356328
2026-03-13 11:41:00,19782949.471601047
2026-03-13 11:43:10,19662569.737009633
2026-03-13 11:44:10,19523119.382897995
2026-03-13 11:44:10,19460264.948268007
2026-03-13 11:44:10,19439458.389938086
2026-03-13 11:50:40,19508821.80713975
2026-03-13 11:50:40,19521912.667355064
2026-03-13 11:51:10,19513764.24512019
2026-03-13 11:56:20,19477478.99606498
2026-03-13 12:00:20,19378210.67384044
2026-03-13 12:03:20,19330374.21037426
2026-03-13 12:07:30,19202535.781515688
2026-03-13 12:08:10,19180974.360786542
2026-03-13 12:09:40,19146477.026699636
2026-03-13 12:16:00,19040603.604121584
2026-03-13 12:17:10,18958883.39797104
2026-03-13 12:17:10,18877541.06782512
2026-03-13 12:17:10,18796891.523019794
2026-03-13 12:21:30,18673191.92857093
2026-03-13 12:22:20,18570727.369164474
2026-03-13 12:22:30,18447550.24493564
2026-03-13 12:24:10,18367209.283861876
2026-03-13 12:28:10,18223955.57519582
2026-03-13 12:31:40,18161815.326216254
2026-03-13 12:32:20,18110962.884134393
2026-03-13 12:32:40,18060138.698729396
2026-03-13 12:32:50,18000437.6813926
2026-03-13 12:36:20,17921201.316286065
2026-03-13 12:36:20,17869938.88216774
2026-03-13 12:36:20,17859921.698505696
2026-03-13 12:37:00,17830623.410382245
2026-03-13 12:37:00,17801914.709443387
2026-03-13 12:38:30,17772831.404109634
2026-03-13 12:38:30,17744011.24917416
2026-03-13 12:38:30,17715700.999607917
2026-03-13 12:41:30,17687043.605093703
2026-03-13 12:41:40,17649881.57903072
2026-03-13 12:45:40,17572002.460825324
2026-03-13 12:45:40,17521419.366189614
2026-03-13 12:45:40,17501501.038442723
2026-03-13 12:50:50,17486497.145379804
2026-03-13 12:50:50,17457227.360565525
2026-03-13 12:51:00,17437870.68625629
2026-03-13 12:54:30,17465272.366959438
2026-03-13 13:02:10,17481748.824093543
2026-03-13 13:25:10,17301394.155308712
2026-03-13 13:25:10,17225959.589418974
2026-03-13 13:26:40,17101886.966761366
2026-03-13 13:26:40,17048895.845818065
2026-03-13 13:26:40,17028716.110089414
2026-03-13 13:27:50,16949450.261778872
2026-03-13 13:27:50,16887849.38010546
2026-03-13 13:27:50,16878467.728408776
2026-03-13 13:34:10,16808563.550267894
2026-03-13 13:35:50,16676255.076645536
2026-03-13 13:36:30,16622419.511949824
2026-03-13 13:40:10,16519082.405287288
2026-03-13 13:40:10,16457259.856069693
2026-03-13 13:40:20,16436535.615109533
2026-03-13 13:46:20,16463430.476256158
2026-03-13 13:47:00,16500713.654687814
2026-03-13 13:48:20,16517830.1085411
2026-03-13 13:48:20,16479289.85762057
2026-03-13 13:48:20,16470393.252349906
2026-03-13 13:55:20,16411836.67823475
2026-03-13 13:57:50,16375884.463043658
2026-03-13 13:57:50,16356119.934542183
2026-03-13 13:57:50,16346741.373983914
2026-03-13 14:11:50,16352836.260032382
2026-03-13 14:22:20,16382446.27631603
2026-03-13 14:22:20,16365325.513769919
2026-03-13 14:35:10,16358097.205617175
2026-03-13 14:35:30,16344634.455460258
2026-03-13 14:37:20,16289704.512459243
2026-03-13 14:40:10,16264328.15348209
2026-03-13 14:57:30,16240273.825740483
2026-03-13 15:05:00,16187313.964670083
2026-03-13 15:09:40,16224466.085210478
2026-03-13 15:20:10,16068968.073775347
