episode,agent,is_bps,total_reward,remaining_shares,timestamp
0,Random,5.7336,-560456.0035,0,2026-03-11T04:40:01.373831+00:00
1,Random,5.2234,-511634.811,0,2026-03-11T04:40:01.374705+00:00
2,Random,5.2305,-511801.2193,0,2026-03-11T04:40:01.374880+00:00
3,Random,5.5735,-544248.6145,0,2026-03-11T04:40:01.374994+00:00
4,Random,5.1808,-507456.3808,0,2026-03-11T04:40:01.375093+00:00
5,Random,5.3198,-517877.7624,0,2026-03-11T04:40:01.375193+00:00
6,Random,5.1888,-508241.4546,0,2026-03-11T04:40:01.375289+00:00
7,Random,5.2888,-518035.1728,0,2026-03-11T04:40:01.375380+00:00
8,Random,5.3028,-516753.0939,0,2026-03-11T04:40:01.375471+00:00
9,Random,5.2731,-515970.973,0,2026-03-11T04:40:01.375670+00:00
10,Random,5.2122,-508970.156,0,2026-03-11T04:40:01.375771+00:00
11,Random,5.1054,-500078.2272,0,2026-03-11T04:40:01.375862+00:00
12,Random,5.1731,-506701.9021,0,2026-03-11T04:40:01.375960+00:00
13,Random,5.4482,-532556.7312,0,2026-03-11T04:40:01.376050+00:00
14,Random,5.4957,-535005.7134,0,2026-03-11T04:40:01.376138+00:00
15,Random,5.1752,-505360.6973,0,2026-03-11T04:40:01.376234+00:00
16,Random,5.2329,-512557.7799,0,2026-03-11T04:40:01.376322+00:00
17,Random,5.1404,-503497.6944,0,2026-03-11T04:40:01.376411+00:00
18,Random,5.3264,-517995.7532,0,2026-03-11T04:40:01.376501+00:00
19,Random,5.6925,-556442.4133,0,2026-03-11T04:40:01.376599+00:00
20,Random,5.6201,-550484.6474,0,2026-03-11T04:40:01.376688+00:00
21,Random,5.3411,-524229.6004,0,2026-03-11T04:40:01.376776+00:00
22,Random,5.3468,-523185.8536,0,2026-03-11T04:40:01.376862+00:00
23,Random,5.1415,-503610.6951,0,2026-03-11T04:40:01.376946+00:00
24,Random,5.2453,-513247.9527,0,2026-03-11T04:40:01.377031+00:00
25,Random,5.2289,-510077.3231,0,2026-03-11T04:40:01.377120+00:00
26,Random,6.3954,-625789.9919,0,2026-03-11T04:40:01.377209+00:00
