,cumulative_net_pnl
2026-03-13 10:13:00,-3073.8069040818955
2026-03-13 10:14:50,-16189.296119579289
2026-03-13 10:14:50,19757042.828473087
2026-03-13 10:14:50,39530274.95306575
2026-03-13 10:14:50,59303507.077658415
2026-03-13 10:14:50,79076739.20225108
2026-03-13 10:15:25,79053482.75969978
2026-03-13 10:16:00,78991963.30389892
2026-03-13 10:23:15,79225608.50380936
2026-03-13 10:26:15,79668347.67687963
2026-03-13 10:26:15,80018940.15768819
2026-03-13 10:26:15,80275907.51138194
2026-03-13 10:27:10,80417360.83847208
2026-03-13 10:27:10,80542009.41268818
2026-03-13 10:27:10,80649853.23403022
2026-03-13 10:27:10,80740892.30249822
2026-03-13 10:27:10,80815126.61809218
2026-03-13 10:27:20,80989282.16011189
2026-03-13 10:27:20,81091012.71184035
2026-03-13 10:28:10,81141366.58685797
2026-03-13 10:30:10,81255893.66794279
2026-03-13 10:35:10,81489355.25677243
2026-03-13 10:55:00,81758503.25598761
2026-03-13 10:55:20,81852366.57496671
2026-03-13 10:57:00,82090198.59221208
2026-03-13 10:57:00,82272688.72654934
2026-03-13 10:57:00,82397057.49857032
2026-03-13 10:57:10,82462430.67590867
2026-03-13 10:57:10,82512431.70299374
2026-03-13 10:57:45,82587360.55772375
2026-03-13 10:57:45,82616294.73171416
2026-03-13 10:57:45,82606961.89667623
2026-03-13 10:57:45,122475801.21189158
2026-03-13 10:57:45,162344640.52710694
2026-03-13 10:57:55,162324352.31416193
2026-03-13 10:57:55,162283775.88827187
2026-03-13 10:59:05,162396394.70047706
2026-03-13 11:00:45,162457050.0605803
2026-03-13 11:01:50,162898688.04092282
2026-03-13 11:06:15,163551167.93884736
2026-03-13 11:06:15,164196593.8660154
2026-03-13 11:06:25,164928248.02250624
2026-03-13 11:06:25,165493907.64354482
2026-03-13 11:07:30,165931727.55525234
2026-03-13 11:07:55,166275750.9338206
2026-03-13 11:07:55,166612477.7792496
2026-03-13 11:08:00,167034514.44097033
2026-03-13 11:11:50,167797018.9375235
2026-03-13 11:11:50,168468301.00127587
2026-03-13 11:11:50,169046350.11744162
2026-03-13 11:11:50,169527634.14297837
2026-03-13 11:11:50,169920028.06461263
2026-03-13 11:13:25,170123637.754358
2026-03-13 11:13:25,170304777.33920234
