,cumulative_net_pnl
2026-03-12 10:20:54,-4345.177080919376
2026-03-12 10:22:40,-31087.90240482566
2026-03-12 10:22:40,-40349.09029449602
2026-03-12 10:30:04,-74776.96165254375
2026-03-12 10:30:04,-89258.56343477052
2026-03-12 10:32:03,-139531.25393364232
2026-03-12 10:32:03,-148655.96875048487
2026-03-12 10:35:04,-113390.18465882484
2026-03-12 10:35:05,-118417.21743374714
2026-03-12 10:35:06,-146136.84714352046
2026-03-12 10:35:07,-151163.69011895038
2026-03-12 10:47:08,-160910.3402063548
2026-03-12 10:47:17,-161327.6544485119
2026-03-12 10:47:30,-171906.01506160386
2026-03-12 10:47:39,-151123.53069086565
2026-03-12 10:48:35,-172201.88881029433
2026-03-12 10:56:36,-238639.7272461249
2026-03-12 10:56:36,-248012.09809392487
2026-03-12 10:58:18,-324546.9622151578
2026-03-12 10:58:18,-333471.59722677845
2026-03-12 11:00:02,-357109.2168830866
2026-03-12 11:00:02,-366098.57665439736
2026-03-12 11:03:07,-432019.99122639035
2026-03-12 11:03:07,-440931.14838953735
2026-03-12 11:06:03,-485681.87319532863
2026-03-12 11:06:03,-494622.4022640247
2026-03-12 11:06:05,-484438.67472548434
2026-03-12 11:08:18,-497491.9644937506
2026-03-12 11:08:18,-506837.03309324465
2026-03-12 13:02:16,-646252.7781512606
2026-03-12 13:06:02,-655726.889434085
2026-03-12 13:08:06,-690424.3701278361
2026-03-12 13:08:19,-699553.0242107788
2026-03-12 13:15:03,-775841.1952616377
2026-03-12 13:15:03,-784748.1000369631
2026-03-12 13:19:22,-786826.7393259327
2026-03-12 13:27:11,-796141.3528527021
2026-03-12 13:28:55,-798601.6908761476
2026-03-12 13:32:47,-808089.0752819919
2026-03-12 13:39:23,-852955.6895179007
2026-03-12 13:39:29,-861842.3232197489
2026-03-12 13:42:01,-888667.4191456424
2026-03-12 13:42:09,-897801.1910863305
2026-03-12 13:42:11,-899043.8341304057
2026-03-12 13:42:13,-916522.553034226
2026-03-12 13:42:13,-925354.3076888192
2026-03-12 13:45:09,-969765.4738643805
2026-03-12 13:45:09,-978556.964754604
2026-03-12 13:51:37,-957771.4690468506
2026-03-12 13:51:40,-968349.5506347454
2026-03-12 13:54:06,-958164.053686996
2026-03-12 13:54:55,-968742.1330914753
2026-03-12 13:58:04,-958556.6425167159
2026-03-12 14:02:19,-1002166.9977896612
2026-03-12 14:02:19,-1010789.6360486981
2026-03-12 14:03:59,-961252.9197921508
2026-03-12 14:19:10,-970685.4522594109
2026-03-12 14:22:30,-1046129.625068136
2026-03-12 14:22:30,-1055050.0486250636
2026-03-12 14:24:11,-1051736.764761496
2026-03-12 14:24:12,-1067110.0481974727
2026-03-12 14:24:27,-1076146.9754861493
2026-03-12 14:27:03,-1161742.0713650635
2026-03-12 14:27:03,-1170354.8821086853
2026-03-12 14:29:12,-1224410.045273531
2026-03-12 14:29:12,-1232996.9366946574
2026-03-12 14:31:51,-1255754.283194556
2026-03-12 14:31:51,-1264511.9154697298
2026-03-12 14:34:09,-1318572.443136506
2026-03-12 14:34:09,-1327148.796441783
2026-03-12 14:38:15,-1381179.0392513184
2026-03-12 14:38:15,-1389740.9265651293
2026-03-12 14:40:02,-1402128.1343774053
2026-03-12 14:40:02,-1410994.2897948471
2026-03-12 14:41:57,-1444413.1427871154
2026-03-12 14:48:08,-1453241.2816282164
2026-03-12 14:50:06,-1486644.6679002685
2026-03-12 14:50:07,-1495539.7708004846
2026-03-12 14:52:15,-1560236.3730389082
2026-03-12 14:52:15,-1568928.3720532267
2026-03-12 14:54:00,-1612613.0835012216
2026-03-12 14:54:00,-1621294.1293603862
2026-03-12 14:57:31,-1654552.0657483183
2026-03-12 14:57:31,-1663289.6337923694
2026-03-12 15:20:55,-1729629.8340683528
2026-03-12 15:21:22,-1741368.1744361129
2026-03-12 15:23:03,-1611728.671786235
2026-03-12 15:27:29,-1623670.364159633
2026-03-12 15:29:18,-1616433.4083410222
2026-03-12 15:29:18,-1626656.380372098
