,cumulative_net_pnl
2026-03-13 10:13:00,-4557.782975117508
2026-03-13 10:14:50,-56231.0748335706
2026-03-13 10:14:50,19678443.247116137
2026-03-13 10:14:50,39413117.56906585
2026-03-13 10:14:50,59147791.89101556
2026-03-13 10:14:50,78882466.21296526
2026-03-13 10:15:25,78851854.02795792
2026-03-13 10:16:00,78786071.94375674
2026-03-13 10:23:15,79016871.53762002
2026-03-13 10:26:15,79420974.41669711
2026-03-13 10:26:15,79732907.2889495
2026-03-13 10:26:15,79951193.80704938
2026-03-13 10:27:10,80086734.28512838
2026-03-13 10:27:10,80205470.01033333
2026-03-13 10:27:10,80307400.98266424
2026-03-13 10:27:10,80392527.2021211
2026-03-13 10:27:10,80460848.66870393
2026-03-13 10:27:20,80538276.59712961
2026-03-13 10:27:20,80543538.44861726
2026-03-13 10:28:10,80497693.03704813
2026-03-13 10:30:10,80593579.04815966
2026-03-13 10:35:10,80824849.2775298
2026-03-13 10:55:00,81056797.27992545
2026-03-13 10:55:20,81149046.43700692
2026-03-13 10:57:00,81350087.7739276
2026-03-13 10:57:00,81496673.27914546
2026-03-13 10:57:00,81586250.2419389
2026-03-13 10:57:10,81648601.0113843
2026-03-13 10:57:10,81695947.4015219
2026-03-13 10:57:45,81698605.6413595
2026-03-13 10:57:45,81654573.2755994
2026-03-13 10:57:45,81570920.77065584
2026-03-13 10:57:45,81485625.69830583
2026-03-13 10:57:45,120539935.0052636
2026-03-13 10:57:55,120512552.57771388
2026-03-13 10:57:55,120465181.94834471
2026-03-13 10:59:05,120569384.81564093
2026-03-13 11:00:45,120625971.65206705
2026-03-13 11:01:50,121022708.31502122
2026-03-13 11:05:05,121755102.06709006
2026-03-13 11:05:50,122402191.6112571
2026-03-13 11:07:30,123123561.31181744
2026-03-13 11:08:10,123752478.08484685
2026-03-13 11:08:30,124571792.31514698
2026-03-13 11:11:50,125630284.66406696
2026-03-13 11:11:50,126564591.3658438
2026-03-13 11:11:50,127373701.32981819
2026-03-13 11:11:50,128056111.32759953
2026-03-13 11:11:50,128609444.7467044
2026-03-13 11:13:10,128995348.57533714
2026-03-13 11:13:25,129304161.07309902
2026-03-13 11:13:25,129602455.94299789
2026-03-13 11:13:25,129890233.18503374
