,cumulative_net_pnl
2026-03-12 10:20:50,-4345.177080919376
2026-03-12 10:22:20,-44464.40371704913
2026-03-12 10:22:20,19812022.23292917
2026-03-12 10:22:20,39668508.86957539
2026-03-12 10:22:20,59524995.50622161
2026-03-12 10:22:20,79381482.14286783
2026-03-12 10:22:20,79354909.92697561
2026-03-12 10:22:25,79309534.60163818
2026-03-12 10:23:35,79385132.16609919
2026-03-12 10:23:35,79436521.01071107
2026-03-12 10:23:35,79463703.64271876
2026-03-12 10:23:35,79490187.39288217
2026-03-12 10:25:55,79428733.99561343
2026-03-12 10:31:00,79475823.47834484
2026-03-12 10:31:50,79364461.74614118
2026-03-12 10:32:40,79411711.27722637
2026-03-12 10:32:40,79458870.60919625
2026-03-12 10:32:40,79505939.74105668
2026-03-12 10:32:40,79552918.67180794
2026-03-12 10:32:40,79599807.40044458
2026-03-12 10:32:40,79646709.66280986
2026-03-12 10:32:55,79701825.49495754
2026-03-12 10:41:45,79942391.03443187
2026-03-12 10:41:45,80176192.43407094
2026-03-12 10:41:45,80403229.69387476
2026-03-12 10:41:45,80623502.81384332
2026-03-12 10:41:45,80837011.79397666
2026-03-12 10:42:15,80928356.94885105
2026-03-12 10:42:20,81132001.464554
2026-03-12 10:44:45,81284347.05512728
2026-03-12 10:46:15,81414315.25054482
2026-03-12 10:58:00,81070102.13849346
2026-03-12 10:58:00,80749178.18795136
2026-03-12 10:58:10,80413729.25627312
2026-03-12 10:58:10,80120192.44219887
2026-03-12 10:58:10,79842145.01365803
2026-03-12 10:58:10,79695270.06258368
2026-03-12 10:58:15,79538966.2423518
2026-03-12 10:59:20,79420137.6847154
2026-03-12 11:06:05,79301819.0243201
2026-03-12 11:06:05,79242362.56935412
2026-03-12 11:06:55,79194239.22473197
2026-03-12 11:06:55,79163361.5555115
2026-03-12 11:06:55,79132678.85083942
2026-03-12 11:07:00,79101874.39259918
2026-03-12 11:07:05,79098377.14429826
2026-03-12 11:08:15,79056253.2210213
2026-03-12 11:12:15,78875823.19452101
2026-03-12 11:25:45,78494962.7088289
2026-03-12 11:28:30,78088693.35081744
2026-03-12 11:28:40,77586299.79567845
2026-03-12 11:29:05,77211086.56503108
2026-03-12 13:02:15,76903154.77196047
2026-03-12 13:06:05,76552451.85415527
2026-03-12 13:15:35,76068465.41392277
2026-03-12 13:19:40,75780278.74138093
2026-03-12 13:20:30,75687710.50017236
2026-03-12 13:20:30,75624827.36607864
2026-03-12 13:20:30,75581829.16009171
2026-03-12 13:20:30,75556749.30815257
2026-03-12 13:20:30,75546709.41079244
2026-03-12 13:22:10,75516702.42545962
2026-03-12 13:23:50,75452021.53834067
2026-03-12 13:27:15,75297512.77004836
2026-03-12 13:28:55,75313956.36724113
2026-03-12 13:28:55,75320284.39291094
2026-03-12 13:28:55,75318825.85047266
2026-03-12 13:29:55,75300663.6751637
2026-03-12 13:31:00,75279115.87773569
2026-03-12 13:31:00,75251258.45995055
2026-03-12 13:31:00,75217091.42180829
2026-03-12 13:31:00,75176614.76330888
2026-03-12 13:31:00,75129828.48445237
2026-03-12 14:03:00,74884008.25856777
2026-03-12 14:03:10,74734598.33135003
2026-03-12 14:03:10,74597936.80834784
2026-03-12 14:04:00,74607436.77157536
2026-03-12 14:17:25,74572508.59111273
2026-03-12 14:23:45,74390198.22895677
2026-03-12 14:23:45,74229779.3272953
2026-03-12 14:23:45,74137178.9484471
2026-03-12 14:25:25,73868889.91352434
2026-03-12 14:39:40,73606756.93699695
2026-03-12 14:43:35,73648478.32352127
2026-03-12 14:43:35,73690149.61142227
2026-03-12 14:43:40,73773721.06492916
2026-03-12 14:43:50,73857646.9156558
2026-03-12 14:44:55,73941188.44975697
2026-03-12 14:44:55,74024533.6138586
2026-03-12 14:44:55,74107682.4112868
2026-03-12 14:44:55,74190634.84539126
2026-03-12 14:44:55,74273390.91954546
2026-03-12 14:45:10,74229667.25442608
2026-03-12 14:45:10,74185691.84436038
2026-03-12 14:45:10,74141464.68934838
2026-03-12 14:45:25,74180069.4567897
2026-03-12 14:45:25,74217673.2815047
2026-03-12 14:45:25,74254280.77502011
2026-03-12 14:45:35,74292365.0319676
2026-03-12 14:47:00,74330990.14416729
2026-03-12 14:47:00,74369565.16460074
2026-03-12 15:20:55,74193898.16784135
2026-03-12 15:21:05,74402241.64212058
2026-03-12 15:21:20,75078826.08772558
2026-03-12 15:21:20,75754130.2109857
2026-03-12 15:22:00,76421155.84988257
2026-03-12 15:23:05,76996602.6881494
2026-03-12 15:27:00,76642104.76468392
2026-03-12 15:27:25,76194197.04820333
2026-03-12 15:27:40,76277798.46242732
2026-03-12 15:28:45,76150367.94589937
2026-03-12 15:28:45,76022887.23287861
2026-03-12 15:29:25,75895030.18924582
2026-03-12 15:29:40,75979012.96733624
