,cumulative_net_pnl
2026-03-12 10:20:54.112,-4345.414899909654
2026-03-12 10:22:12.852,-41604.222266073906
2026-03-12 10:22:12.852,-50800.20083414116
2026-03-12 10:22:20.629,-95832.6842255317
2026-03-12 10:22:20.629,-105055.56472891563
2026-03-12 10:22:40.930,-139545.35841164872
2026-03-12 10:22:40.930,-148806.5463013191
2026-03-12 10:22:52.147,-183344.9538111292
2026-03-12 10:22:52.147,-192635.73432457008
2026-03-12 10:23:36.224,-237708.26941405018
2026-03-12 10:23:52.432,-247254.35160189474
2026-03-12 10:31:04.214,-292682.00424489635
2026-03-12 10:31:05.075,-302243.50736031873
2026-03-12 10:32:44.619,-347544.0590437075
2026-03-12 10:32:44.619,-347622.37580166076
2026-03-12 10:32:46.340,-348039.07917654375
2026-03-12 10:32:46.770,-348117.3522001869
2026-03-12 10:32:55.362,-348334.26979962515
2026-03-12 10:32:55.362,-348412.62265702523
2026-03-12 10:33:06.752,-357762.50157088233
2026-03-12 10:35:04.958,-343896.7174792222
2026-03-12 10:35:05.172,-350188.68844231596
2026-03-12 10:35:05.387,-355637.97619548644
2026-03-12 10:35:05.603,-360666.34604911384
2026-03-12 10:35:05.816,-365694.698606008
2026-03-12 10:35:06.031,-371143.7836497669
2026-03-12 10:35:06.247,-378701.3241950743
2026-03-12 10:35:06.463,-380372.7872497502
2026-03-12 10:47:09.316,-389900.4789308113
2026-03-12 10:47:39.360,-424279.57301048574
2026-03-12 10:48:21.842,-433829.71129562287
2026-03-12 10:56:36.988,-509696.9802243332
2026-03-12 10:56:37.628,-512448.0317746289
2026-03-12 10:56:38.057,-514280.8560914818
2026-03-12 10:56:38.272,-515790.0115989078
2026-03-12 10:56:38.485,-517299.16614177753
2026-03-12 10:56:38.700,-518087.6354551757
2026-03-12 10:57:09.175,-528473.4566121036
2026-03-12 10:57:09.390,-552677.1812015055
2026-03-12 10:57:09.608,-570518.35982047
2026-03-12 10:57:09.825,-571753.1947229782
2026-03-12 10:57:10.471,-580560.9277578866
2026-03-12 10:57:15.851,-575777.154011248
2026-03-12 10:57:21.415,-583055.0273146457
2026-03-12 10:57:21.628,-624340.180209851
2026-03-12 10:57:23.341,-633127.5216065382
2026-03-12 10:57:26.986,-635210.0609722581
2026-03-12 10:57:27.200,-649011.4562721296
2026-03-12 10:57:27.414,-676747.8273307276
2026-03-12 10:57:27.628,-685542.7869242307
2026-03-12 10:57:30.624,-693054.437321619
2026-03-12 10:57:30.837,-729307.8341085108
2026-03-12 10:57:32.762,-738104.4715013427
2026-03-12 10:59:08.026,-782058.5859670495
2026-03-12 10:59:08.026,-790859.5059611967
2026-03-12 10:59:20.226,-834803.0556176853
2026-03-12 10:59:20.226,-843593.3890049409
2026-03-12 11:00:02.611,-877076.2006564445
2026-03-12 11:00:02.611,-885887.1157461739
2026-03-12 11:01:01.487,-940299.4605172229
2026-03-12 11:01:11.765,-949116.8761402157
2026-03-12 11:03:40.579,-990005.7769711105
2026-03-12 11:03:40.794,-992907.3301746415
2026-03-12 11:03:41.434,-1001649.1155870081
2026-03-12 11:06:05.861,-1035108.6529164474
2026-03-12 11:06:05.861,-1043916.8975599306
2026-03-12 11:06:14.840,-1067308.744056385
2026-03-12 11:06:14.840,-1076510.808145233
2026-03-12 11:06:23.617,-1079431.8458206584
2026-03-12 11:06:23.831,-1120953.1754200235
2026-03-12 11:06:36.454,-1130135.7146766605
2026-03-12 11:06:57.198,-1174481.0558336894
2026-03-12 11:06:58.054,-1183646.2424657918
2026-03-12 11:07:06.178,-1174397.6881346619
2026-03-12 11:07:06.392,-1217710.208494512
2026-03-12 11:07:26.050,-1227115.1754973494
2026-03-12 11:08:18.184,-1271669.4395144968
2026-03-12 11:08:22.671,-1273206.4865181595
2026-03-12 11:08:22.881,-1274643.534918894
2026-03-12 11:08:23.094,-1274721.8398938286
2026-03-12 11:08:23.310,-1274800.1448640306
2026-03-12 11:08:23.523,-1274878.4498385354
2026-03-12 11:08:23.736,-1281586.099522673
2026-03-12 11:08:36.558,-1300195.1589694405
2026-03-12 11:08:50.222,-1309698.5375728281
2026-03-12 11:09:32.260,-1323047.6750412753
2026-03-12 11:09:47.013,-1332605.1945856106
2026-03-12 13:02:17.051,-1493020.1730358799
2026-03-12 13:02:49.174,-1503034.8892950607
2026-03-12 13:02:52.156,-1537622.242314724
2026-03-12 13:03:22.197,-1547619.4847709246
2026-03-12 13:03:22.197,-1592544.9733319583
2026-03-12 13:03:30.534,-1599967.5255478728
2026-03-12 13:03:30.747,-1601836.6470245924
2026-03-12 13:05:05.983,-1636060.7891495298
2026-03-12 13:05:47.954,-1645506.4318355534
2026-03-12 13:08:06.414,-1689912.3743125857
2026-03-12 13:08:20.912,-1699054.0181725135
2026-03-12 13:08:44.579,-1699805.836303918
2026-03-12 13:08:44.791,-1713928.8646100275
2026-03-12 13:08:45.007,-1731822.9875644345
2026-03-12 13:08:55.206,-1740872.1042914446
2026-03-12 13:16:41.446,-1773951.9323857639
2026-03-12 13:19:43.750,-1782701.873504122
2026-03-12 13:19:56.360,-1795184.373346736
2026-03-12 13:19:56.573,-1795600.4626492818
2026-03-12 13:24:58.800,-1805002.8280114396
2026-03-12 13:28:29.932,-1828449.674249064
2026-03-12 13:31:32.530,-1837835.6879563045
2026-03-12 14:03:02.740,-1881912.6307782657
2026-03-12 14:19:17.224,-1890836.0381650361
2026-03-12 14:20:00.297,-1905494.4771286896
2026-03-12 14:20:00.511,-1945303.510909609
2026-03-12 14:20:01.164,-1954313.0859219497
2026-03-12 14:23:23.899,-1987830.3837019596
2026-03-12 14:23:39.900,-1996784.6210183282
2026-03-12 14:24:01.257,-2019842.7507265562
2026-03-12 14:24:27.498,-2028879.9033796831
2026-03-12 14:43:20.455,-2052151.027941468
2026-03-12 14:44:07.021,-2061367.357123261
2026-03-12 14:44:59.291,-2095193.7519567288
2026-03-12 14:45:14.526,-2104368.6831453037
2026-03-12 14:45:34.743,-2117219.1029094644
2026-03-12 14:45:52.344,-2126356.397436203
2026-03-12 14:46:41.071,-2117104.036665149
2026-03-12 14:46:41.280,-2160100.155627822
