,cumulative_net_pnl
2026-03-17 09:00:05,-25426.50935485707
2026-03-17 09:00:40,85050.72971238878
2026-03-17 09:00:45,68112.4336707943
2026-03-17 09:01:05,77128.349368569
2026-03-17 09:06:40,43970.333552989934
2026-03-17 09:08:50,-14606.274455880033
2026-03-17 09:09:00,-3187.4672839404957
2026-03-17 09:09:45,-9163.847185390565
2026-03-17 09:09:45,-9594.704297132412
2026-03-17 09:16:25,-15522.520630096697
2026-03-17 09:26:05,-154069.99507309907
2026-03-17 09:32:40,-185018.85473055096
2026-03-17 09:34:05,-228439.63454949428
2026-03-17 09:39:30,-228816.6565012534
2026-03-17 09:39:35,-229057.5754488181
2026-03-17 09:39:40,-229569.7981233421
2026-03-17 09:42:00,-252450.16106266843
2026-03-17 09:44:35,-275926.24625292013
2026-03-17 09:45:25,-252706.57133722963
2026-03-17 09:45:30,-276182.6448806037
2026-03-17 10:02:10,-335560.5602519105
2026-03-17 10:03:10,-405338.321532893
2026-03-17 10:03:15,-407531.14035535767
2026-03-17 10:03:35,-440035.9337754503
2026-03-17 10:12:10,-547252.7470824408
2026-03-17 10:16:05,-577113.1195221457
2026-03-17 10:22:30,-607891.563623525
2026-03-17 10:22:35,-657765.5690519708
2026-03-17 10:25:45,-662650.7288899373
2026-03-17 10:26:00,-663338.431849088
2026-03-17 10:26:05,-665512.6293379175
2026-03-17 10:26:10,-667414.8153099214
2026-03-17 10:26:15,-671190.5038854532
2026-03-17 10:29:25,-720762.5385505529
2026-03-17 10:29:35,-746556.7892521388
2026-03-17 10:33:30,-761699.7056834758
2026-03-17 10:33:30,-761776.2274303461
2026-03-17 10:34:05,-785520.846387249
2026-03-17 10:36:25,-812917.0746052114
2026-03-17 10:39:10,-838011.9671706721
2026-03-17 10:54:00,-897987.8400694586
2026-03-17 11:00:00,-921572.4918873832
2026-03-17 13:20:10,-1023036.6566991281
2026-03-17 13:25:10,-1049620.9248816792
2026-03-17 13:31:15,-1100037.0283643235
2026-03-17 13:41:25,-1125238.7853856557
2026-03-17 13:41:45,-1184142.9912877919
2026-03-17 13:45:10,-1213389.219213639
2026-03-17 13:45:25,-1216386.2233607364
2026-03-17 13:45:30,-1252334.7080887267
2026-03-17 14:46:40,-1291667.0213843596
2026-03-17 14:54:30,-1339468.1663584735
2026-03-17 15:05:25,-1371928.0822802912
2026-03-17 15:06:05,-1476125.563059703
2026-03-17 15:06:35,-1513220.2381811768
2026-03-17 15:07:30,-1536846.7992142702
2026-03-17 15:08:35,-1541713.25588336
2026-03-17 15:08:55,-1578077.3799220682
2026-03-17 15:13:50,-1597493.5614347039
2026-03-17 15:14:00,-1618494.9488547542
2026-03-17 15:14:55,-1620828.805696546
2026-03-17 15:15:50,-1652232.1674376074
2026-03-17 15:20:20,-2184963.240556941
2026-03-17 15:20:30,-2184336.4901718744
2026-03-17 15:21:45,-2184668.493698367
2026-03-17 15:22:00,-2191741.2557057836
2026-03-17 15:22:05,-2199100.129354025
2026-03-17 15:22:10,-2249827.2686544415
2026-03-17 15:22:15,-2261366.4235565993
2026-03-17 15:22:55,-2288982.775250775
2026-03-17 15:24:25,-2290761.3242589543
2026-03-17 15:26:00,-2290841.2687837123
2026-03-17 15:27:55,-2367045.1234459477
