,cumulative_net_pnl
2026-03-17 09:00:05,-9905.007943262186
2026-03-17 09:00:10,795.7538832598041
2026-03-17 09:00:15,-5008.515410649986
2026-03-17 09:00:40,-11101.661062397907
2026-03-17 09:00:45,2836776.3025516113
2026-03-17 09:01:05,3310772.3402295983
2026-03-17 09:02:00,3310365.2374872975
2026-03-17 09:04:10,3309630.136194684
2026-03-17 09:05:00,3255161.7398078614
2026-03-17 09:05:05,3240890.6631499664
2026-03-17 09:06:00,3194841.4014256233
2026-03-17 09:06:10,3174826.247173044
2026-03-17 09:06:45,3127905.6506542154
2026-03-17 09:06:50,3122120.5610174416
2026-03-17 09:08:10,3047420.39134591
2026-03-17 09:14:25,2975979.679000532
2026-03-17 09:19:00,2933874.320377499
2026-03-17 09:19:05,2897239.594695204
2026-03-17 09:25:10,2826905.1555234236
2026-03-17 09:26:05,2747203.5083554178
2026-03-17 09:26:40,2695571.7265922516
2026-03-17 09:26:45,2677103.1109672505
2026-03-17 09:35:40,2600573.3230331605
2026-03-17 09:36:25,2521769.8076430354
2026-03-17 09:37:00,2551819.845497765
2026-03-17 09:51:05,2463858.309638496
2026-03-17 10:02:55,2430232.5942024835
2026-03-17 10:17:35,2420188.619545274
2026-03-17 10:17:45,2409116.7321379483
2026-03-17 10:18:00,2380199.280879961
2026-03-17 10:25:15,2319282.1229852256
2026-03-17 10:29:35,2258000.4280046285
2026-03-17 10:30:05,2247319.2098883493
2026-03-17 10:30:10,2235429.9918001634
2026-03-17 10:30:15,2228158.2218448934
2026-03-17 10:34:10,2149312.9680935023
2026-03-17 11:06:35,2083580.1051710998
2026-03-17 11:12:40,2023495.8805279562
2026-03-17 11:25:00,1946990.1344706067
2026-03-17 11:25:15,1897728.8214891811
2026-03-17 11:55:15,1863444.954407737
2026-03-17 11:59:10,1795767.4494182637
2026-03-17 14:46:45,1719227.3547205532
2026-03-17 14:56:30,1738206.3795044895
2026-03-17 14:59:30,1692341.5937902036
2026-03-17 15:01:00,1676398.2063283685
2026-03-17 15:05:40,1633417.528835054
2026-03-17 15:07:55,1556463.7778078504
2026-03-17 15:09:15,1544199.624948318
2026-03-17 15:09:20,1542145.5924769714
2026-03-17 15:09:25,1531560.2887986647
2026-03-17 15:16:20,1501173.5917063365
2026-03-17 15:20:15,1291554.1837970612
2026-03-17 15:20:20,1244391.7405277942
2026-03-17 15:20:25,1236210.6281317838
2026-03-17 15:20:35,1233809.3502622736
2026-03-17 15:21:30,1170186.6613065973
2026-03-17 15:26:00,782129.9910557012
2026-03-17 15:28:25,774935.8186350529
2026-03-17 15:28:30,747068.6415446063
2026-03-17 15:29:50,700500.6308995005
