timestamp,symbol,score,expected_return,confidence,horizon_steps,is_valid,tag_alpha_source,tag_model_scores,tag_session,tag_regime_vol,tag_regime_trend,tag_regime_liquidity,tag_strategy
2026-03-17 09:00:05,000810,0.5819716010701612,5.819716010701612,0.5819716010701612,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.297863, 'OrderFlowAlpha(thr=0.1, w=5)': 0.771378}",regular,LOW_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:20,000810,0.6638175644261318,6.6381756442613185,0.6638175644261318,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.534876, 'OrderFlowAlpha(thr=0.1, w=5)': 0.749779}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:25,000810,0.690303209842904,6.9030320984290405,0.690303209842904,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.651241, 'OrderFlowAlpha(thr=0.1, w=5)': 0.716344}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:40,000810,-0.3268922683900614,-3.2689226839006142,0.13163214327603848,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.818757, 'OrderFlowAlpha(thr=0.1, w=5)': 0.0}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:50,000810,-0.3999620545884981,-3.999620545884981,0.10998557971962696,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.828133, 'OrderFlowAlpha(thr=0.1, w=5)': -0.462456}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:55,000810,-0.34193622056569106,-3.4193622056569106,0.09494946550019179,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.821566, 'OrderFlowAlpha(thr=0.1, w=5)': -0.758772}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:01:00,000810,-0.3086486477289408,-3.086486477289408,0.08341948886305507,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.80025, 'OrderFlowAlpha(thr=0.1, w=5)': -0.885786}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:01:05,000810,-0.2033421346949363,-2.033421346949363,0.07757072668173283,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.762163, 'OrderFlowAlpha(thr=0.1, w=5)': -0.87621}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:01:10,000810,-0.13121361423116829,-1.3121361423116829,0.07420546504245493,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.727262, 'OrderFlowAlpha(thr=0.1, w=5)': -0.884771}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:02:00,000810,-0.11675230021152037,-1.1675230021152037,0.07221125741270983,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.639934, 'OrderFlowAlpha(thr=0.1, w=5)': -0.842139}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:04:10,000810,-0.08334476803503398,-0.8334476803503398,0.07031769348047191,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.578181, 'OrderFlowAlpha(thr=0.1, w=5)': -0.712085}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:04:25,000810,0.09675229284907992,0.9675229284907992,0.06465919510845256,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.405976, 'OrderFlowAlpha(thr=0.1, w=5)': 0.0}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:05,000810,0.08400757126760477,0.8400757126760477,0.06389139016485773,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.329823, 'OrderFlowAlpha(thr=0.1, w=5)': 0.0}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:10,000810,0.17803797329423673,1.7803797329423674,0.06463735103921077,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.271592, 'OrderFlowAlpha(thr=0.1, w=5)': 0.306546}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:15,000810,0.18296572877391817,1.8296572877391817,0.06571432709414872,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.227077, 'OrderFlowAlpha(thr=0.1, w=5)': 0.382011}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:20,000810,0.17836579349253479,1.7836579349253479,0.06705457854445566,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.192691, 'OrderFlowAlpha(thr=0.1, w=5)': 0.451311}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:25,000810,0.16759493001211903,1.6759493001211903,0.06856337324007934,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.165693, 'OrderFlowAlpha(thr=0.1, w=5)': 0.507039}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:30,000810,0.14648145114288594,1.4648145114288593,0.06991909270846033,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.144088, 'OrderFlowAlpha(thr=0.1, w=5)': 0.498602}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:35,000810,0.055933209294446284,0.5593320929444628,0.07021494497336155,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.151113, 'OrderFlowAlpha(thr=0.1, w=5)': 0.301537}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:40,000810,-0.062401507261877646,-0.6240150726187764,0.06854968377136825,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.150611, 'OrderFlowAlpha(thr=0.1, w=5)': 0.0}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:15,000810,-0.06083499679985214,-0.6083499679985214,0.06688641109785787,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.120902, 'OrderFlowAlpha(thr=0.1, w=5)': 0.0}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:20,000810,-0.2279782434561688,-2.279782434561688,0.06595899672419919,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.099056, 'OrderFlowAlpha(thr=0.1, w=5)': -0.436237}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:25,000810,-0.26678875680583314,-2.6678875680583314,0.06575707136363182,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.082699, 'OrderFlowAlpha(thr=0.1, w=5)': -0.62035}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:30,000810,-0.26417819228490513,-2.6417819228490513,0.06580245486496218,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.020023, 'OrderFlowAlpha(thr=0.1, w=5)': -0.621596}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:35,000810,-0.1795078382294868,-1.795078382294868,0.06541495400976831,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.081256, 'OrderFlowAlpha(thr=0.1, w=5)': -0.339857}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:40,000810,-0.05431446605612053,-0.5431446605612054,0.06399661592245283,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.089511, 'OrderFlowAlpha(thr=0.1, w=5)': 0.0}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
