,cumulative_net_pnl
2026-03-17 09:00:00,-21313.71512653331
2026-03-17 09:00:40,-80627.9589568185
2026-03-17 09:10:55,-108782.36612050951
2026-03-17 09:11:15,-80707.73237129231
2026-03-17 09:11:25,-138012.47125162318
2026-03-17 09:15:35,-80937.62187938245
2026-03-17 09:17:05,-166742.18952307195
2026-03-17 09:18:30,-229657.9415493987
2026-03-17 09:24:50,-229961.97679718683
2026-03-17 09:32:45,-255727.47080652573
2026-03-17 09:34:05,-287878.01074167015
2026-03-17 09:44:30,-312266.70708035404
2026-03-17 09:46:45,-314548.65500217327
2026-03-17 09:59:05,-323897.99778532184
2026-03-17 09:59:10,-335825.2005087262
2026-03-17 10:02:40,-311459.1901226088
2026-03-17 10:02:45,-333689.7117561303
2026-03-17 10:02:50,-360160.68594828533
2026-03-17 10:02:55,-362945.6316506646
2026-03-17 12:06:00,-386209.7876352434
2026-03-17 12:12:35,-383182.64513685403
2026-03-17 12:12:40,-413204.9638764784
2026-03-17 12:47:10,-436390.86699516175
2026-03-17 13:21:25,-437100.2838701021
2026-03-17 13:53:50,-461172.3776766922
2026-03-17 14:07:25,-491058.96760836005
2026-03-17 14:38:00,-513765.82450354536
