,cumulative_net_pnl
2026-03-17 09:00:00,-11873.009461922557
2026-03-17 09:02:25,-131466.67247182628
2026-03-17 09:04:25,-154507.70724799513
2026-03-17 09:08:25,-181733.89598206404
2026-03-17 09:08:30,-184814.16431479104
2026-03-17 09:09:55,-185336.71167232704
2026-03-17 09:17:40,-198651.8511439734
2026-03-17 09:17:45,-203317.39453041402
2026-03-17 09:19:40,-208423.40649892815
2026-03-17 09:24:10,-228054.4301548517
2026-03-17 09:24:55,-257708.725414267
2026-03-17 09:26:15,-277724.27679988585
2026-03-17 09:30:05,-282534.22830643225
2026-03-17 09:33:55,-283477.6108981488
2026-03-17 09:49:20,-300105.3051360944
2026-03-17 09:58:10,-380397.42894792533
2026-03-17 10:05:55,-400041.0234040974
2026-03-17 10:13:15,-379255.54271579004
2026-03-17 10:18:35,-379566.13634913234
2026-03-17 10:23:40,-397994.338025738
2026-03-17 10:33:10,-401922.77237495745
2026-03-17 10:41:35,-421032.98292550904
2026-03-17 10:48:15,-424095.13802479854
2026-03-17 10:48:20,-428183.89490421524
2026-03-17 10:48:25,-435370.05137312855
2026-03-17 10:48:30,-468280.4525924282
2026-03-17 10:58:25,-470902.1652877407
2026-03-17 11:53:40,-489273.6113158361
2026-03-17 12:13:10,-469741.53095498134
2026-03-17 12:13:15,-491628.77897586353
2026-03-17 12:35:30,-493201.92040544195
2026-03-17 12:35:40,-501242.5214238862
2026-03-17 12:35:45,-506810.88215984515
2026-03-17 12:35:50,-508065.1006497739
2026-03-17 12:46:55,-536129.4028292841
2026-03-17 12:47:00,-586336.3220378358
2026-03-17 13:22:35,-604254.5308210804
2026-03-17 13:22:45,-597917.6343793586
2026-03-17 13:22:50,-623999.8001445124
2026-03-17 13:22:55,-631186.7082696
2026-03-17 13:26:55,-649211.6394633043
2026-03-17 13:31:35,-652545.3157201582
2026-03-17 14:33:50,-670688.1226617716
