,cumulative_net_pnl
2026-03-17 09:00:00,-13320.163006699253
2026-03-17 09:00:25,-40781.11907410667
2026-03-17 10:57:00,-426582.91804135486
2026-03-17 10:57:05,2407791.741155122
2026-03-17 11:03:45,2405350.4621329983
2026-03-17 11:05:00,2401389.750803535
2026-03-17 11:07:50,2382870.406928247
2026-03-17 11:10:50,2391103.222172145
2026-03-17 11:16:35,2368830.1335400185
2026-03-17 12:29:40,2368157.46243413
2026-03-17 12:30:50,2366360.3101744084
2026-03-17 12:37:00,2358943.246361205
2026-03-17 12:47:30,2284390.5845557344
2026-03-17 12:48:20,2311939.662635954
2026-03-17 12:48:25,2311390.2492870386
2026-03-17 12:50:55,2306062.412184466
2026-03-17 12:53:50,2329598.2887167125
2026-03-17 13:01:40,2292808.8676539483
2026-03-17 13:03:00,2275047.4686429147
2026-03-17 13:03:45,2248876.6373858033
2026-03-17 13:03:45,2248511.622671309
2026-03-17 13:06:15,2276461.88386308
2026-03-17 13:06:25,2248401.2534852964
2026-03-17 13:09:40,2247951.171793281
2026-03-17 13:11:05,2247196.5681746355
2026-03-17 13:21:35,2246739.8342647194
2026-03-17 13:21:35,2246557.7129471
2026-03-17 13:31:50,2245636.0904156202
2026-03-17 13:39:00,2298413.4120826893
2026-03-17 13:42:40,2297157.1980945114
2026-03-17 13:55:15,2294760.019805399
2026-03-17 15:23:25,1580653.4582708157
2026-03-17 15:23:30,1560300.7936741977
2026-03-17 15:23:50,1560239.8932052937
2026-03-17 15:23:55,1557389.6553027865
2026-03-17 15:24:00,1556824.4011673545
2026-03-17 15:24:55,1542117.946106565
2026-03-17 15:25:25,1566657.4087238943
2026-03-17 15:25:30,1566596.875195813
2026-03-17 15:28:20,1591028.0897523712
2026-03-17 15:29:00,1639041.1387190851
2026-03-17 15:29:05,1638364.0788171857
