,cumulative_net_pnl
2026-03-17 09:00:00,-81607.19181818297
2026-03-17 09:00:45,5996.530821123031
2026-03-17 09:00:50,-27099.604039016034
2026-03-17 09:01:10,-101763.35877480477
2026-03-17 09:01:30,-106129.56635640745
2026-03-17 09:01:35,-151305.5442633864
2026-03-17 09:01:40,-151634.66656130907
2026-03-17 09:02:45,-149216.24294903033
2026-03-17 09:03:05,-149547.3344309031
2026-03-17 09:03:30,-152622.2502725965
2026-03-17 09:06:40,-204962.88538231485
2026-03-17 09:08:05,-134037.3330450395
2026-03-17 09:08:10,-177006.6994163041
2026-03-17 09:08:15,-197731.7270845134
2026-03-17 09:08:20,-199912.36205640243
2026-03-17 09:11:40,-202321.16051006594
2026-03-17 09:15:20,-202648.8122428825
2026-03-17 09:16:25,-241015.48735806326
2026-03-17 09:30:30,-311604.5164478723
2026-03-17 09:30:35,-332940.971221686
2026-03-17 09:33:50,-375203.8680469046
2026-03-17 09:35:25,-371134.975068974
2026-03-17 09:35:40,-401935.338487042
2026-03-17 09:36:15,-422964.0518511331
2026-03-17 09:38:15,-432477.519592649
2026-03-17 09:39:45,-409548.8567964199
2026-03-17 09:41:05,-483156.23491924675
2026-03-17 09:43:55,-484119.5286503182
2026-03-17 09:44:35,-484443.5886800801
2026-03-17 09:45:25,-485013.97785150236
2026-03-17 09:48:55,-485337.78572869656
2026-03-17 09:54:50,-522012.9949724685
2026-03-17 09:58:25,-566432.0952230713
2026-03-17 10:02:10,-577210.6015146889
2026-03-17 10:02:15,-594356.1208656658
2026-03-17 10:11:10,-523423.7819730576
2026-03-17 10:15:25,-537615.3017443556
2026-03-17 10:26:10,-569136.8883091286
2026-03-17 10:26:10,-618014.4337049831
2026-03-17 10:26:15,-629410.3523527316
2026-03-17 10:45:10,-664419.2174788532
2026-03-17 10:49:00,-683355.5739120687
2026-03-17 15:20:10,-711741.072497278
2026-03-17 15:20:15,-789985.4398519298
2026-03-17 15:23:35,-530094.8926464921
