,cumulative_net_pnl
2026-03-17 09:00:00,-23112.462012411455
2026-03-17 09:00:20,-238059.14380589302
2026-03-17 09:02:40,-286078.50818019593
2026-03-17 09:02:55,-384442.0612053409
2026-03-17 09:03:00,-412399.47748477623
2026-03-17 09:04:30,-432164.98170888884
2026-03-17 09:04:35,-434209.4902099308
2026-03-17 09:05:25,-436973.66203389224
2026-03-17 09:05:55,-529642.253778277
2026-03-17 09:06:00,-539062.7221677459
2026-03-17 09:08:40,-570883.6963853273
2026-03-17 09:11:25,-554437.1908905345
2026-03-17 09:14:40,-572389.6996360682
2026-03-17 09:14:45,-576577.2226729835
2026-03-17 09:14:50,-637372.5654642452
2026-03-17 09:16:00,-663313.0352549336
2026-03-17 09:19:45,-696861.1850407616
2026-03-17 09:24:55,-724208.9145727778
2026-03-17 09:29:35,-785478.782813794
2026-03-17 09:32:00,-809454.7579780234
2026-03-17 09:33:45,-791296.7015891334
2026-03-17 09:34:40,-816724.3767328835
2026-03-17 09:35:15,-877372.4178259063
2026-03-17 09:36:30,-902452.0512070875
2026-03-17 09:36:35,-963121.9943753853
2026-03-17 09:39:00,-987995.8656393791
2026-03-17 09:39:10,-1044207.8510910689
2026-03-17 09:41:20,-1047203.2945381997
2026-03-17 10:14:15,-1090571.633630149
2026-03-17 10:15:20,-1150225.5146046306
2026-03-17 15:21:30,-1255118.0773162057
2026-03-17 15:21:40,-1218668.897363094
2026-03-17 15:22:25,-2195503.3719689483
2026-03-17 15:23:00,-2435981.230096289
2026-03-17 15:28:45,-1696989.0050202701
2026-03-17 15:28:55,-1758466.017914507
