,cumulative_net_pnl
2026-03-17 09:00:00,-14608.637560883994
2026-03-17 10:28:45,-28754.25739900651
2026-03-17 10:28:50,-20796.66941239672
2026-03-17 10:29:00,1179.8349378396633
2026-03-17 10:29:05,4219.041890034601
2026-03-17 10:32:55,-2345.261111898835
2026-03-17 10:34:10,-49585.15412120371
2026-03-17 10:34:30,-56081.03733394424
2026-03-17 10:38:05,-94785.49039340895
2026-03-17 10:38:10,-102974.36754389602
2026-03-17 10:40:25,134959.8036885351
2026-03-17 10:40:30,343152.31679951993
2026-03-17 10:40:40,372844.2893955936
2026-03-17 10:41:05,372696.61215276155
2026-03-17 10:41:30,372370.9191109886
2026-03-17 10:42:55,365989.24057320325
2026-03-17 11:23:25,327538.35942683177
2026-03-17 11:23:40,325999.7306365012
2026-03-17 11:23:45,621421.7719576741
2026-03-17 11:23:50,828217.3594058768
2026-03-17 11:23:55,916844.1315544685
2026-03-17 11:24:25,916785.2198617627
2026-03-17 11:42:15,916696.8328618114
2026-03-17 11:52:10,916299.4677325859
2026-03-17 11:53:05,915249.4117616174
2026-03-17 11:56:05,909074.68198592
2026-03-17 11:58:25,896244.8816218892
2026-03-17 12:31:55,891620.2207136857
2026-03-17 13:48:45,891042.8959969161
2026-03-17 13:55:15,890473.7595046881
2026-03-17 13:56:15,910339.7800981327
2026-03-17 13:56:20,900932.0434173796
2026-03-17 13:56:25,897510.9621566206
2026-03-17 13:56:35,884362.3074825861
2026-03-17 14:00:10,876358.2039149308
2026-03-17 14:01:00,864242.8074887374
2026-03-17 14:01:40,863203.6476262119
2026-03-17 14:09:30,848113.7221035573
2026-03-17 14:21:50,845735.6178173798
2026-03-17 14:22:00,864928.1161166528
2026-03-17 14:26:15,883853.475284594
2026-03-17 14:28:40,883303.5577812177
2026-03-17 14:34:15,901507.687821018
2026-03-17 14:34:15,901044.0049862039
2026-03-17 14:34:20,891986.8288125073
2026-03-17 14:34:25,891518.3718066447
2026-03-17 14:36:00,891772.9470777492
2026-03-17 14:38:30,888884.9796185474
2026-03-17 14:38:35,887667.469673982
2026-03-17 14:38:40,883919.4056840978
2026-03-17 14:43:05,869298.425122855
2026-03-17 14:43:20,868056.8207079713
2026-03-17 14:43:25,865762.8980240322
2026-03-17 14:43:30,1513494.2018156992
2026-03-17 14:43:35,1749033.5856072765
2026-03-17 14:43:40,1896245.79814024
2026-03-17 14:43:45,2014015.5943385223
2026-03-17 14:44:10,2013897.7716807267
2026-03-17 14:45:55,2011536.9374254309
2026-03-17 14:47:45,2000316.752004932
2026-03-17 14:53:30,1982013.1061015404
2026-03-17 14:53:35,1978571.0346690905
2026-03-17 15:00:15,1978541.6223454382
2026-03-17 15:08:30,1972405.6490158006
2026-03-17 15:12:00,1994004.458233212
