,cumulative_net_pnl
2026-03-17 09:00:00,-22581.75148267177
2026-03-17 09:02:05,-54042.62550672203
2026-03-17 09:02:30,5070222.095153285
2026-03-17 09:02:40,5068191.019625051
2026-03-17 09:02:55,5066526.739187427
2026-03-17 10:01:35,5070993.608211633
2026-03-17 10:02:25,5060598.9619952785
2026-03-17 10:05:00,5017292.585219293
2026-03-17 10:08:10,5001436.2200810155
2026-03-17 10:08:45,5031872.282755622
2026-03-17 10:08:50,5031774.532678363
2026-03-17 10:08:55,5031709.571201417
2026-03-17 10:11:15,5046233.0299383495
2026-03-17 10:15:40,5044978.721273047
2026-03-17 10:15:50,5017969.987799915
2026-03-17 10:16:05,5011727.669314814
2026-03-17 10:45:15,5007478.609363381
2026-03-17 11:32:00,4999412.974014262
2026-03-17 11:36:30,4998124.26869899
2026-03-17 11:36:45,4997961.114989924
2026-03-17 11:37:40,4997797.933914476
2026-03-17 11:38:55,4995135.760316915
2026-03-17 11:40:15,4994705.440628519
2026-03-17 11:42:10,4993502.928416847
2026-03-17 11:42:20,4988238.16464315
2026-03-17 11:43:30,4979628.971483546
2026-03-17 15:26:05,4893577.836488984
