,cumulative_net_pnl
2026-03-17 09:00:00,-1205.0316391051033
2026-03-17 09:00:05,-5320.189351623988
2026-03-17 09:01:00,-7522.73351321363
2026-03-17 09:01:05,-49967.49220137783
2026-03-17 09:01:10,234472.45286925216
2026-03-17 09:01:10,233925.23888186735
2026-03-17 09:02:00,233862.8369099697
2026-03-17 09:02:15,233565.1125248088
2026-03-17 09:04:55,232753.07004399865
2026-03-17 09:13:45,232456.5310836165
2026-03-17 09:15:10,231645.58606075755
2026-03-17 09:15:45,231349.41654014273
2026-03-17 09:18:05,229540.8407956018
2026-03-17 09:20:40,196858.61503051277
2026-03-17 09:21:35,232213.58681070968
2026-03-17 09:21:55,231918.20143926432
2026-03-17 09:22:50,230609.88454933104
2026-03-17 09:24:05,229710.4778476183
2026-03-17 09:24:10,214183.20097738417
2026-03-17 09:24:15,204541.88699300698
2026-03-17 09:35:10,243175.0508344928
2026-03-17 09:38:40,241881.3795623722
2026-03-17 09:40:25,241586.30490963667
2026-03-17 09:41:10,213336.06517769588
2026-03-17 09:41:15,212437.75301023366
2026-03-17 09:44:05,177642.86022167694
2026-03-17 15:21:20,-453653.4431883494
2026-03-17 15:21:25,-597156.5273312572
2026-03-17 15:21:30,-597464.4943841932
2026-03-17 15:21:40,-637221.8429019704
2026-03-17 15:21:45,-656677.445010043
2026-03-17 15:22:25,-807729.5700100441
2026-03-17 15:22:55,-930144.4731700071
2026-03-17 15:23:00,-919166.3189320574
