,cumulative_net_pnl
2026-03-17 09:00:05,-48101.543019802004
2026-03-17 09:00:20,-2783.761054059187
2026-03-17 09:03:40,-71515.89622265019
2026-03-17 09:03:45,4079293.342249645
2026-03-17 09:33:05,4025991.2208622447
2026-03-17 13:36:50,4031909.4183888496
2026-03-17 13:40:25,3979112.726866908
2026-03-17 13:54:00,4076931.5434611193
2026-03-17 14:00:25,4030502.861582579
2026-03-17 14:13:25,3992545.7548255716
2026-03-17 14:30:25,3944842.1842467035
2026-03-17 14:32:00,3943976.0943469466
2026-03-17 14:32:35,3902150.6857089573
2026-03-17 14:32:40,3824890.6072395705
2026-03-17 14:39:30,3781460.622576915
2026-03-17 14:39:30,3702597.1123983786
2026-03-17 14:41:15,3660481.558436248
2026-03-17 14:42:10,3539035.843423137
2026-03-17 14:46:10,3498314.528061485
2026-03-17 14:46:10,3422153.9998315223
2026-03-17 14:49:25,3371369.8154748813
2026-03-17 15:19:50,3279322.7286350215
2026-03-17 15:25:55,3018035.349717203
2026-03-17 15:26:00,2960864.2804503683
2026-03-17 15:26:05,2907031.4476485318
2026-03-17 15:26:30,3120610.518606244
2026-03-17 15:29:00,3120325.62323664
2026-03-17 15:29:10,3076418.3967160666
