,cumulative_net_pnl
2026-03-17 12:45:30,-13990.65171808638
2026-03-17 12:46:35,-8171.859092591363
2026-03-17 12:46:40,-35410.60231893034
2026-03-17 12:51:20,7754981.25993589
2026-03-17 12:59:05,7719877.529187971
2026-03-17 13:02:45,7684035.600520557
2026-03-17 13:03:00,7681252.5872916905
2026-03-17 13:03:15,7678511.193736578
2026-03-17 13:03:20,7673281.7799745705
2026-03-17 13:03:25,7668052.2113766745
2026-03-17 13:03:30,7658918.165159323
2026-03-17 13:12:30,7710344.72427422
2026-03-17 13:12:35,7654201.800603063
2026-03-17 13:13:00,7630128.730601835
2026-03-17 13:13:05,7626698.94225988
2026-03-17 13:17:55,7648166.754710265
2026-03-17 13:19:55,7594208.253623599
2026-03-17 13:28:10,7562767.495974057
2026-03-17 13:37:05,7526545.787339499
2026-03-17 13:41:35,7496505.614110551
2026-03-17 13:47:25,7490619.0516744815
2026-03-17 13:48:40,7460266.630491741
2026-03-17 13:53:20,7457264.965057944
2026-03-17 15:05:15,7429339.818219321
2026-03-17 15:12:00,7394756.6423290055
2026-03-17 15:20:00,7301678.437050609
2026-03-17 15:20:30,7371134.276916426
2026-03-17 15:20:35,7351819.841916426
2026-03-17 15:20:40,7336350.434782452
2026-03-17 15:20:45,7325850.670126677
2026-03-17 15:20:50,7324671.75723954
2026-03-17 15:27:05,7281085.975802967
