,cumulative_net_pnl
2026-03-17 09:00:30,-13613.02826300038
2026-03-17 09:00:45,-45680.24123146486
2026-03-17 09:03:30,-74268.07259386228
2026-03-17 09:08:10,41127.05897403156
2026-03-17 09:22:40,40843.07395018087
2026-03-17 09:32:15,13272.214180978262
2026-03-17 09:36:05,-50183.447531674814
2026-03-17 09:44:15,-78862.84023196899
2026-03-17 09:49:40,-141597.27929823205
2026-03-17 10:08:55,-212179.27540304756
2026-03-17 10:20:55,-185729.73270199966
2026-03-17 10:21:30,-213340.69564165585
2026-03-17 10:40:40,-231234.93561651476
2026-03-17 10:46:55,-259109.9487107232
2026-03-17 10:53:30,-222175.4142310478
2026-03-17 10:53:35,-276042.03901925194
2026-03-17 11:19:00,-276825.71363553335
2026-03-17 11:19:05,-303186.37860534026
2026-03-17 11:24:25,-320801.53218877176
2026-03-17 12:10:40,-321154.7588159947
2026-03-17 15:06:05,-345308.43604335183
2026-03-17 15:06:10,-347310.161640245
2026-03-17 15:19:30,-285660.47215500893
2026-03-17 15:29:55,-346430.7190934131
2026-03-17 15:29:55,-376540.80617315567
