,cumulative_net_pnl
2026-03-17 09:00:00,9947887.51416599
2026-03-17 09:00:25,9922012.82799993
2026-03-17 09:00:30,9886027.895023307
2026-03-17 09:00:35,9923776.39846928
2026-03-17 09:01:00,9956193.324460046
2026-03-17 09:05:50,9950738.873140097
2026-03-17 09:07:00,9979732.265761465
2026-03-17 09:08:10,9979085.84117967
2026-03-17 09:11:40,9969528.114886906
2026-03-17 09:12:00,9961117.07819629
2026-03-17 09:12:05,9957047.927613156
2026-03-17 09:12:25,9931202.33430787
2026-03-17 09:17:25,9930129.390740313
2026-03-17 09:17:30,9927552.719887141
2026-03-17 09:17:35,9926696.345541196
2026-03-17 09:17:50,9918128.7020924
2026-03-17 09:17:50,9899222.544112427
2026-03-17 09:17:55,9899103.32871313
2026-03-17 09:27:15,9898814.13334885
2026-03-17 09:28:00,9896908.801723784
2026-03-17 09:33:50,9896094.312952327
2026-03-17 09:34:05,9897994.527756814
2026-03-17 09:44:15,9891274.616041694
2026-03-17 10:07:10,9891216.935144791
2026-03-17 10:08:10,9886844.380817348
2026-03-17 10:08:15,9879025.922789706
2026-03-17 10:46:40,9877331.415249765
2026-03-17 15:20:00,9974356.871901877
2026-03-17 15:20:05,9937384.436965888
2026-03-17 15:29:00,9937235.500848396
