,cumulative_net_pnl
2026-03-17 09:00:00,-18886.019852176356
2026-03-17 09:00:40,-87453.05869456078
2026-03-17 09:03:15,-87525.52531580819
2026-03-17 09:03:40,-88440.44540573524
2026-03-17 09:03:50,-140284.10315414896
2026-03-17 09:05:10,-231229.33674179387
2026-03-17 09:07:35,-256514.2785082886
2026-03-17 09:07:40,-317464.76818257937
2026-03-17 09:09:35,-341007.7672665533
2026-03-17 09:47:35,-548427.0866856998
2026-03-17 09:47:40,-569651.2988461716
2026-03-17 09:47:45,-570852.0259210694
2026-03-17 09:51:10,-618042.6808938218
2026-03-17 09:53:30,-644042.2024615307
2026-03-17 10:04:25,-729946.1962309056
2026-03-17 10:09:45,-730087.9166581391
2026-03-17 10:09:50,-731240.9811002394
2026-03-17 10:09:55,-738835.9372702815
2026-03-17 10:10:00,-743370.2262682815
2026-03-17 10:11:40,-721280.6369931498
2026-03-17 10:11:45,-740523.4218327946
2026-03-17 10:11:50,-760306.1575510654
2026-03-17 10:11:55,-765845.3417979139
2026-03-17 10:18:40,-785409.4083861042
2026-03-17 10:23:15,-827048.3635694869
2026-03-17 10:30:10,-827119.5300405305
2026-03-17 10:30:10,-827431.6992723208
2026-03-17 10:31:40,-827502.7355946454
2026-03-17 10:31:40,-827814.5949194925
2026-03-17 10:33:10,-827885.5294581243
2026-03-17 10:33:10,-828197.1071814974
2026-03-17 10:34:35,-828414.4191175806
2026-03-17 10:34:40,-854081.7205921964
2026-03-17 10:34:50,-915974.2740075749
2026-03-17 10:36:25,-943108.4080829986
2026-03-17 10:40:05,-943927.6051270517
2026-03-17 10:40:55,-943998.3562799054
2026-03-17 10:40:55,-944309.9310340481
2026-03-17 10:42:05,-970816.8528650089
2026-03-17 10:50:55,-1044801.7105016941
2026-03-17 10:59:50,-1044872.3581425202
2026-03-17 10:59:50,-1045183.6495704823
2026-03-17 11:05:20,-1056377.9955168935
2026-03-17 11:05:25,-1061502.334055332
2026-03-17 11:09:15,-1104338.396402856
2026-03-17 11:11:10,-1104408.9875843544
2026-03-17 11:11:10,-1104720.0426400402
2026-03-17 11:20:10,-1124882.1120804758
2026-03-17 11:25:15,-1165452.2652705894
2026-03-17 11:25:45,-1165522.7133173677
2026-03-17 11:28:30,-1173512.117322096
2026-03-17 11:28:35,-1180885.9607394738
2026-03-17 11:28:35,-1181196.9558236443
2026-03-17 11:28:55,-1236498.8406828335
2026-03-17 11:40:30,-1257744.476346608
2026-03-17 11:41:05,-1258952.1024708783
2026-03-17 11:48:30,-1333929.9717194824
2026-03-17 11:52:30,-1358065.6530807188
2026-03-17 11:59:40,-1402236.2128319184
2026-03-17 12:02:00,-1387746.2271984257
2026-03-17 12:02:20,-1402516.7992246961
2026-03-17 12:04:10,-1358425.0525313194
2026-03-17 12:05:15,-1360610.3727318537
2026-03-17 12:18:55,-1428304.9433056714
2026-03-17 12:28:30,-1447046.3183577359
2026-03-17 13:20:20,-1489153.4507238301
2026-03-17 13:20:25,-1498839.7994754994
2026-03-17 13:20:35,-1501888.094935584
2026-03-17 13:20:40,-1505854.3246819794
2026-03-17 13:21:50,-1504914.4701117054
2026-03-17 13:34:00,-1560224.4004132196
2026-03-17 13:34:00,-1560294.8149843349
2026-03-17 13:34:55,-1560604.7965635834
2026-03-17 13:34:55,-1560675.21406144
2026-03-17 13:35:25,-1560885.409320109
2026-03-17 13:35:25,-1560955.8605366896
2026-03-17 13:39:55,-1561266.0057597691
2026-03-17 13:40:10,-1561336.3250366987
2026-03-17 13:40:15,-1561546.2623528764
2026-03-17 13:42:05,-1561616.6352078312
2026-03-17 13:45:55,-1579174.8469003793
2026-03-17 13:49:20,-1581967.4952507569
2026-03-17 13:49:25,-1587379.6974163868
2026-03-17 14:46:40,-1608484.769187433
2026-03-17 14:59:55,-1724181.4316486607
2026-03-17 15:01:00,-1729377.7803715041
2026-03-17 15:01:05,-1737677.6514876916
2026-03-17 15:01:10,-1738272.367002219
2026-03-17 15:01:15,-1739108.0215235879
2026-03-17 15:01:40,-1725029.548660072
2026-03-17 15:04:25,-1780580.0452024555
2026-03-17 15:04:25,-1802619.1664696194
2026-03-17 15:10:40,-1861728.3347693474
2026-03-17 15:10:45,-1862974.6525247835
2026-03-17 15:10:50,-1914689.3164502163
2026-03-17 15:17:00,-1915199.1938039823
2026-03-17 15:19:00,-1915319.4244270194
2026-03-17 15:19:55,-1915578.5075864638
2026-03-17 15:19:55,-1915648.7464153487
2026-03-17 15:20:30,-1915958.574491153
2026-03-17 15:20:45,-1916029.6104891156
2026-03-17 15:21:00,-1916239.0652984334
2026-03-17 15:25:00,-1916769.0681093957
2026-03-17 15:25:05,-1917298.4186964035
2026-03-17 15:25:10,-1917827.7321484738
2026-03-17 15:25:15,-1921931.2111224534
2026-03-17 15:25:20,-1926027.1532754689
2026-03-17 15:25:25,-1930138.4201406206
2026-03-17 15:25:30,-1930667.7905610793
