,cumulative_net_pnl
2026-03-17 09:00:10,9953509.941106351
2026-03-17 09:01:30,9953207.215697696
2026-03-17 09:04:45,9905411.986243717
2026-03-17 09:05:20,9766939.031709526
2026-03-17 09:05:25,9762134.446206953
2026-03-17 09:06:05,9724390.459621666
2026-03-17 09:07:00,9718060.84108348
2026-03-17 09:07:15,9679694.69308593
2026-03-17 09:09:35,9672117.430153709
2026-03-17 09:12:40,9671816.893246949
2026-03-17 09:12:40,9670950.868999993
2026-03-17 09:27:00,9670150.729901409
2026-03-17 09:27:00,9669114.547939261
2026-03-17 09:27:15,9669314.671209771
2026-03-17 09:27:15,9668492.444350552
2026-03-17 09:31:25,9663093.578697
2026-03-17 09:31:30,9655625.38726797
2026-03-17 09:31:55,9635257.69436066
2026-03-17 10:00:15,9423140.416754622
2026-03-17 10:39:50,9415724.845841218
2026-03-17 10:42:45,9364541.75337888
2026-03-17 10:58:00,9344533.730019676
2026-03-17 11:02:15,9343116.7481094
2026-03-17 11:02:20,9342199.76292192
2026-03-17 11:02:25,9333190.088170828
2026-03-17 11:02:30,9319315.259021005
2026-03-17 11:11:30,9332599.621770872
2026-03-17 11:11:35,9304914.24309958
2026-03-17 11:11:40,9292164.235157521
2026-03-17 11:18:15,9268765.06917982
2026-03-17 11:18:20,9263989.980845064
2026-03-17 11:26:15,9328141.360442566
2026-03-17 11:30:35,9290324.746632991
2026-03-17 11:33:25,9255463.68041382
2026-03-17 11:33:30,9217382.38654665
2026-03-17 11:54:50,9168713.652780289
2026-03-17 12:04:10,9147803.332027584
2026-03-17 12:44:50,9135972.619690428
2026-03-17 12:44:55,9091994.259258984
2026-03-17 12:47:55,9120176.120582977
2026-03-17 12:51:20,9087406.452723024
2026-03-17 13:01:50,9056633.010238815
2026-03-17 13:01:55,9055714.26147119
2026-03-17 13:31:35,8989203.229372546
2026-03-17 15:20:10,8836701.286564773
2026-03-17 15:24:20,8430431.171792753
2026-03-17 15:24:25,8429602.7075909
2026-03-17 15:27:15,8429291.08129108
2026-03-17 15:27:20,8423595.160824379
2026-03-17 15:27:25,8417905.476578137
2026-03-17 15:27:30,8412260.439368835
2026-03-17 15:27:35,8406606.422161972
2026-03-17 15:27:40,8400902.129921855
2026-03-17 15:27:45,8399482.277346026
2026-03-17 15:29:05,8496126.295767227
2026-03-17 15:29:35,8417696.729714805
