,cumulative_net_pnl
2026-03-17 09:00:00,9838162.861088473
2026-03-17 09:00:40,9819444.35480207
2026-03-17 09:00:45,9808250.107906263
2026-03-17 09:13:25,9742418.575799515
2026-03-17 09:25:50,9711950.98407166
2026-03-17 09:39:10,9694563.191470664
2026-03-17 10:01:45,9664644.26953009
2026-03-17 10:15:30,9647552.732849328
2026-03-17 11:19:55,9618143.876144476
2026-03-17 11:20:30,9601344.483706187
2026-03-17 11:58:15,9572029.518729348
2026-03-17 11:59:30,9507390.47926637
2026-03-17 12:42:15,9498146.21603645
2026-03-17 12:42:20,9486208.848551992
2026-03-17 12:42:25,9479617.185123712
2026-03-17 12:46:35,9462750.626862444
2026-03-17 12:53:30,9461621.664442971
2026-03-17 12:53:35,9433103.725954391
2026-03-17 12:56:20,9367736.00014279
2026-03-17 13:14:25,9338162.305608079
2026-03-17 13:33:40,9368404.520073503
2026-03-17 14:00:15,9338595.046492051
2026-03-17 14:24:50,9274047.958786042
