,cumulative_net_pnl
2026-03-17 09:10:35,-20640.174963017867
2026-03-17 09:11:25,-30175.61994261925
2026-03-17 09:12:50,-148756.0711763176
2026-03-17 09:13:10,-148823.91339036947
2026-03-17 09:13:25,-149388.58615834662
2026-03-17 09:14:50,-171374.39478806264
2026-03-17 09:14:55,-181009.31765839233
2026-03-17 09:17:10,-163073.81934746774
2026-03-17 09:17:55,-181241.29115720073
2026-03-17 09:18:10,-142735.7748237588
2026-03-17 09:18:15,-194709.41572201223
2026-03-17 09:19:00,-263212.225971111
2026-03-17 09:24:30,-279130.00040403113
2026-03-17 09:28:00,-312333.5762701681
2026-03-17 09:41:20,-315376.9812701682
2026-03-17 09:47:20,-441593.55324751517
2026-03-17 09:50:00,-441870.8263692964
2026-03-17 09:52:05,-441938.5920714298
2026-03-17 09:53:25,-442403.1289720209
2026-03-17 09:53:40,-446681.5710447221
2026-03-17 09:53:45,-478759.31538965914
2026-03-17 09:55:25,-442623.93836493033
2026-03-17 09:55:55,-478891.4780664318
2026-03-17 09:59:50,-492183.9081079424
2026-03-17 09:59:55,-524149.04134734016
2026-03-17 10:00:00,-527299.8849232803
2026-03-17 10:00:30,-527417.388396042
2026-03-17 10:02:55,-527731.8196821848
2026-03-17 10:05:25,-527799.1368290266
2026-03-17 10:05:40,-576384.2760693334
2026-03-17 10:08:10,-608463.9109567853
2026-03-17 10:08:15,-640660.6013994687
2026-03-17 10:08:20,-644828.1151043489
2026-03-17 10:11:10,-645293.2728254595
2026-03-17 10:17:20,-645360.5426918209
2026-03-17 10:23:45,-687204.4434172527
2026-03-17 10:34:50,-710450.6598647895
2026-03-17 10:42:05,-745488.2767183619
2026-03-17 10:43:55,-816635.5323756199
2026-03-17 10:45:10,-854848.90055248
2026-03-17 10:45:55,-873016.0132993463
2026-03-17 10:54:55,-818679.7820049966
2026-03-17 11:21:00,-831094.791348099
2026-03-17 11:21:05,-842923.4741178674
2026-03-17 11:21:10,-854645.5359283771
2026-03-17 11:21:15,-855517.3143090716
2026-03-17 11:29:25,-855792.441926038
2026-03-17 11:29:30,-885557.0746027598
2026-03-17 11:31:50,-867679.1816984398
2026-03-17 11:31:55,-870707.4834855228
2026-03-17 11:35:10,-897933.4077178821
2026-03-17 11:39:35,-911680.5056842305
2026-03-17 11:39:40,-919068.301656733
2026-03-17 13:18:20,-933914.584066043
2026-03-17 13:18:25,-934421.6645916696
2026-03-17 13:42:40,-951027.1435397331
2026-03-17 13:43:30,-941667.8971334968
2026-03-17 13:45:05,-941934.1873132216
2026-03-17 13:49:10,-971180.0765994601
2026-03-17 13:49:30,-998785.2903714338
2026-03-17 13:50:45,-1081035.979225282
2026-03-17 13:52:50,-1109537.7701600036
2026-03-17 13:55:15,-1097258.7817436145
2026-03-17 13:55:20,-1126606.9579248808
2026-03-17 13:58:10,-1127372.6816552232
2026-03-17 13:58:25,-1156460.2229808124
2026-03-17 14:03:05,-1215295.1268757922
2026-03-17 14:06:05,-1243383.1869621226
2026-03-17 14:10:00,-1306252.8430403245
2026-03-17 14:13:00,-1335314.8621448947
2026-03-17 14:15:35,-1353282.0551744446
2026-03-17 14:19:10,-1335548.6358382103
2026-03-17 14:21:00,-1380231.6166568913
2026-03-17 14:21:10,-1407797.7428067138
2026-03-17 14:24:15,-1470693.2839244497
2026-03-17 14:33:55,-1525178.0806560426
2026-03-17 14:36:40,-1544030.7902867105
2026-03-17 14:37:00,-1602674.7383568913
2026-03-17 14:39:20,-1630694.470189499
2026-03-17 14:44:35,-1691952.590143171
2026-03-17 14:45:30,-1699977.089070528
2026-03-17 14:45:35,-1713391.3262642948
2026-03-17 14:49:25,-1820858.51219976
2026-03-17 14:53:00,-1889625.5165959937
2026-03-17 14:53:00,-1922835.4621675997
2026-03-17 14:55:35,-1940802.6537489246
2026-03-17 14:57:55,-1923064.635044248
2026-03-17 15:00:00,-1988957.548609269
2026-03-17 15:00:10,-1989174.6889559443
2026-03-17 15:01:25,-2019363.1031323294
2026-03-17 15:02:00,-2037330.213118586
2026-03-17 15:03:40,-2001694.222626205
2026-03-17 15:08:40,-2069295.648284848
2026-03-17 15:08:40,-2102373.8654548717
2026-03-17 15:11:25,-2185689.106211155
2026-03-17 15:12:10,-2216062.344868779
2026-03-17 15:14:35,-2255701.3291914277
2026-03-17 15:20:00,-2049974.6485126466
2026-03-17 15:20:35,-2592221.6166128563
2026-03-17 15:20:40,-2768641.1624310105
2026-03-17 15:20:45,-2769879.921062137
2026-03-17 15:20:50,-2783115.4213696844
2026-03-17 15:20:55,-2792204.4859121265
2026-03-17 15:21:00,-2793282.4702310166
2026-03-17 15:21:45,-2793421.221299443
2026-03-17 15:25:10,-2793373.895665057
2026-03-17 15:25:15,-2794026.533436796
2026-03-17 15:25:20,-2794664.643500529
2026-03-17 15:25:25,-2795303.0669086333
2026-03-17 15:25:30,-2795941.42038272
2026-03-17 15:25:35,-2796579.7738568066
2026-03-17 15:25:40,-2797218.1273308927
2026-03-17 15:25:45,-2797856.585771108
2026-03-17 15:25:50,-2798494.962537272
2026-03-17 15:25:55,-2799133.2927385103
2026-03-17 15:26:00,-2799769.745182645
2026-03-17 15:26:05,-2800405.9811027558
2026-03-17 15:26:10,-2801042.422679656
2026-03-17 15:26:15,-2801678.7233760348
2026-03-17 15:26:20,-2802315.0240724143
2026-03-17 15:26:25,-2802951.324768793
2026-03-17 15:26:30,-2803587.614658389
2026-03-17 15:26:35,-2804223.904547985
2026-03-17 15:26:40,-2809041.2659380524
2026-03-17 15:26:45,-2809258.6205719523
2026-03-17 15:26:50,-2809475.9752058513
2026-03-17 15:26:55,-2809693.2961339136
2026-03-17 15:27:00,-2809910.6642851653
2026-03-17 15:27:05,-2810128.0324364165
2026-03-17 15:27:10,-2810345.2763124523
2026-03-17 15:27:15,-2810562.7876167265
2026-03-17 15:27:20,-2810780.244122179
2026-03-17 15:27:25,-2810997.8903823514
2026-03-17 15:27:30,-2811215.5366425235
2026-03-17 15:27:35,-2811432.9794993154
2026-03-17 15:27:40,-2811650.542476111
2026-03-17 15:27:45,-2811868.105452904
2026-03-17 15:27:50,-2812085.6339491135
2026-03-17 15:27:55,-2798768.773206231
2026-03-17 15:28:00,-2799151.9124633493
2026-03-17 15:28:05,-2799530.6704687886
2026-03-17 15:28:10,-2849115.701856238
2026-03-17 15:29:10,-2687381.0427509556
2026-03-17 15:29:55,-2765180.035504227
