,cumulative_net_pnl
2026-03-17 09:00:00,-161.67468116884478
2026-03-17 09:00:05,-26289.688941123874
2026-03-17 09:02:50,-69271.09498766487
2026-03-17 09:02:55,-103422.19086926998
2026-03-17 09:03:00,9252703.985185253
2026-03-17 09:04:45,9252401.68929801
2026-03-17 09:04:50,9218414.68708052
2026-03-17 09:04:55,9204050.651457552
2026-03-17 09:07:00,9218658.458309473
2026-03-17 09:07:05,9199947.995730592
2026-03-17 09:07:10,9166535.339679735
2026-03-17 09:07:15,9130810.75059566
2026-03-17 09:07:20,9130386.086328393
2026-03-17 09:08:25,9064770.864622617
2026-03-17 09:11:00,8997481.899024764
2026-03-17 09:11:10,8960992.955447044
2026-03-17 09:11:15,8956649.868208403
2026-03-17 09:14:15,8920867.882302409
2026-03-17 09:15:35,8777835.155861147
2026-03-17 09:16:05,8758072.992975347
2026-03-17 09:16:10,8749366.394756611
2026-03-17 09:16:15,8748279.512021087
2026-03-17 09:45:50,8739157.0066074
2026-03-17 09:45:55,8705406.37037445
2026-03-17 09:49:45,8657977.087200513
2026-03-17 09:52:40,8625001.670490263
2026-03-17 09:52:45,8623381.375416994
2026-03-17 09:52:50,8619780.867242286
2026-03-17 09:53:10,8577213.210492812
2026-03-17 09:53:40,8572055.727599312
2026-03-17 09:53:45,8562565.996068288
2026-03-17 09:53:50,8554299.032897992
2026-03-17 10:31:00,8522974.303127512
2026-03-17 10:31:05,8492246.909328217
2026-03-17 10:31:10,8491167.985915143
2026-03-17 10:36:50,8458955.370052012
2026-03-17 10:38:30,8441313.95846114
2026-03-17 10:55:55,8466583.957249597
2026-03-17 10:56:00,8456047.751293011
2026-03-17 10:56:05,8451602.276226081
2026-03-17 10:56:55,8449189.619504679
2026-03-17 10:57:00,8448771.77292316
2026-03-17 10:57:05,8446651.92232439
2026-03-17 10:57:30,8444756.67807176
2026-03-17 10:58:30,8445538.332988681
2026-03-17 11:00:35,8407023.971289964
2026-03-17 11:00:40,8405794.342889015
2026-03-17 12:29:15,8384707.549904492
2026-03-17 12:29:20,8344768.262362976
2026-03-17 12:30:45,8344701.094644885
2026-03-17 12:31:10,8344535.739695072
2026-03-17 12:31:15,8344468.578322049
2026-03-17 12:35:00,8344303.285286651
2026-03-17 12:35:05,8344236.15456401
2026-03-17 12:45:55,8343971.227621154
2026-03-17 12:49:20,8312866.473168594
2026-03-17 12:49:25,8330531.026478363
2026-03-17 12:51:15,8323860.9165695645
2026-03-17 12:51:20,8268916.513482369
2026-03-17 12:52:00,8268849.521554497
2026-03-17 12:52:05,8268684.661773923
2026-03-17 12:53:25,8268617.654222306
2026-03-17 12:55:30,8268452.786475652
2026-03-17 12:55:40,8268385.7809787905
2026-03-17 13:10:05,8268121.239935769
2026-03-17 13:14:25,8244285.679454566
2026-03-17 13:18:00,8202012.618256509
2026-03-17 13:21:40,8201895.721557965
2026-03-17 13:21:50,8195526.845791685
2026-03-17 13:21:55,8189330.255679852
2026-03-17 13:22:00,8189799.843407303
2026-03-17 13:36:40,8198535.323385267
2026-03-17 13:39:00,8197377.7550934395
2026-03-17 13:39:05,8170924.36050671
2026-03-17 13:39:10,8160923.024071196
2026-03-17 13:39:10,8158335.596538272
2026-03-17 13:39:15,8155747.699914544
2026-03-17 13:39:20,8153159.803290816
2026-03-17 13:39:25,8150571.5118899
2026-03-17 13:39:30,8147887.162377354
2026-03-17 13:39:35,8146626.58577154
2026-03-17 13:44:40,8110759.745514294
2026-03-17 13:46:10,8128494.880035954
2026-03-17 13:47:15,8106472.153137545
2026-03-17 13:47:20,8075259.073359094
2026-03-17 13:52:00,8074846.196788276
2026-03-17 13:52:05,8071369.89953306
2026-03-17 13:52:10,8067388.644608589
2026-03-17 13:52:15,8059929.173841523
2026-03-17 13:52:20,8059587.405500579
2026-03-17 13:54:45,8076280.431838675
2026-03-17 13:54:50,8040805.985072531
2026-03-17 13:54:55,8040315.477719126
2026-03-17 13:58:30,8016325.833647002
