timestamp,symbol,side,filled_qty,fill_price,fee,slippage_bps,market_impact_bps,latency_ms,parent_id,order_id
2026-03-17 09:00:00,207940,BUY,6,1589419.0697674418,1430.4771627906978,37.37966382975581,27.906976744185872,1.4264732973513936,2328fd0c-0f92-4fb9-81dc-aab50ecb4482,7266e362-8e8c-436d-955c-e90d36482100
2026-03-17 09:00:50,207940,SELL,2,1594826.1029411764,6219.821801470587,10.484792100367125,7.352941176471103,1.6691015912197673,51b7e147-bfef-46c6-a7a7-e51a165abf16,060caf45-6e31-41aa-b636-45973962de67
2026-03-17 09:01:05,207940,SELL,8,1591228.3582089553,24823.1623880597,33.01999242746467,29.850746268656458,1.4811597810823702,51b7e147-bfef-46c6-a7a7-e51a165abf16,8570a41c-b619-406b-b60a-dc0c1a0ffd14
2026-03-17 09:01:10,207940,SELL,2,1594622.4137931035,6219.027413793104,11.760640193526235,8.62068965517186,1.413015491492213,51b7e147-bfef-46c6-a7a7-e51a165abf16,8570a41c-b619-406b-b60a-dc0c1a0ffd14
2026-03-17 09:03:15,207940,BUY,12,1595477.5956284152,2871.8596721311474,9.269734180773114,21.857923497267343,1.4608216879368807,7e7e410c-f6b5-4afc-bbe0-fd0ec39b342d,e157f10f-07d5-4e4c-b523-cda666cec146
2026-03-17 09:04:40,207940,SELL,10,1591296.9837587008,31030.291183294667,29.467520308892365,23.201856148491363,1.44098681832535,465e6351-795a-4999-adc2-abcba7e4654e,af17b8e2-d3df-4a3c-bfdf-5271519db13c
2026-03-17 09:04:45,207940,SELL,2,1594266.2068965517,6217.638206896551,10.863365309826744,4.59770114942574,1.582852439032102,465e6351-795a-4999-adc2-abcba7e4654e,af17b8e2-d3df-4a3c-bfdf-5271519db13c
2026-03-17 09:13:35,207940,BUY,2,1597279.1083916083,479.18373251748255,4.8801026721474745,1.7482517482514526,1.5748975396464284,8fa4548a-ba91-46de-85c1-1e9407044cdb,f78da508-9e6e-4b40-9e37-a50eb4102501
2026-03-17 09:13:40,207940,BUY,3,1597417.9319371728,718.8380693717277,5.749651971016449,2.6178010471204267,1.6504573814992782,8fa4548a-ba91-46de-85c1-1e9407044cdb,f78da508-9e6e-4b40-9e37-a50eb4102501
2026-03-17 09:13:45,207940,BUY,3,1597416.116420504,718.8372523892268,5.738280115903153,2.6064291920071314,1.4188923135086995,8fa4548a-ba91-46de-85c1-1e9407044cdb,f78da508-9e6e-4b40-9e37-a50eb4102501
2026-03-17 09:13:50,207940,BUY,4,1597555.7876414272,958.5334725848563,6.6131390004838515,3.4812880765878287,1.5666671556375538,8fa4548a-ba91-46de-85c1-1e9407044cdb,f78da508-9e6e-4b40-9e37-a50eb4102501
2026-03-17 09:17:50,207940,SELL,5,1590784.3511450381,15510.147423664124,35.80112029415504,7.633587786259665,1.4577708458052152,1c791fe1-04ac-46a7-a17f-22ce700eec17,389606ad-c6bd-46d1-81b5-48b42f0bd3eb
2026-03-17 09:19:05,207940,SELL,7,1590449.0959666204,21709.63015994437,37.90105877469232,9.735744089012112,1.5921065743746676,1c791fe1-04ac-46a7-a17f-22ce700eec17,9928128b-a899-4c7b-baf3-72c9bb27b17b
2026-03-17 09:24:45,207940,BUY,6,1591400.4405286345,1432.260396475771,-0.6255700368553568,8.810572687225354,1.3315760635043823,d8cf7268-aea0-4103-8652-58ae9e4359ab,1be1c3a6-993c-47b7-b423-6dcfe33c76c2
2026-03-17 09:25:05,207940,BUY,2,1590443.8547486034,477.13315642458105,-6.636162434160087,2.793296089385917,1.6307083053210778,d8cf7268-aea0-4103-8652-58ae9e4359ab,2851cec8-b3da-4c8f-a328-aead7d82b22b
2026-03-17 09:25:10,207940,BUY,1,1590203.1969309463,238.53047953964193,-8.148307062856949,1.2787723785167815,1.4935562025649318,d8cf7268-aea0-4103-8652-58ae9e4359ab,2851cec8-b3da-4c8f-a328-aead7d82b22b
2026-03-17 09:27:45,207940,BUY,3,1591562.6768867925,716.2032045990567,0.3938227256834905,3.5377358490570736,1.939431864881559,d8cf7268-aea0-4103-8652-58ae9e4359ab,66fee06b-8492-46e7-8690-8ef5fcceb703
2026-03-17 09:30:00,207940,SELL,6,1590821.8249075215,18612.615351418,4.2612321236476,7.398273736128826,1.5741840565977356,b0fa6753-d22e-4d04-9d50-69cbc0c295e5,f1537d9c-1d58-47fc-b58f-fee0644bebc3
2026-03-17 09:30:05,207940,SELL,6,1590823.2758620689,18612.632327586205,4.2521152241981195,7.38916256157696,1.5532059730119636,b0fa6753-d22e-4d04-9d50-69cbc0c295e5,f1537d9c-1d58-47fc-b58f-fee0644bebc3
2026-03-17 09:31:35,207940,BUY,12,1593372.3479804704,2868.0702263648463,11.764674712349334,15.978695073235626,1.6484254340364968,4f93acf4-22f6-42e1-b13e-e0c414e2bc96,dcb314c6-acc4-48bf-8bc4-284c0fc547e6
2026-03-17 09:34:05,207940,SELL,12,1590916.9934640522,37227.45764705882,-2.6217759449997575,13.071895424837079,1.6995881710517105,162782b1-d664-4ed1-8614-a0c7affebd37,5d4594af-5bcf-4749-b72f-854799e45334
