,cumulative_net_pnl
2026-03-17 09:00:00,-36944.895767441696
2026-03-17 09:00:50,31487.48831344049
2026-03-17 09:01:05,-7185.087472744417
2026-03-17 09:01:10,3175840.7126996694
2026-03-17 09:03:15,3119237.7054865556
2026-03-17 09:04:40,3101177.2518902686
2026-03-17 09:04:45,3091492.0274764756
2026-03-17 09:13:35,3089454.6269607414
2026-03-17 09:13:40,3085981.9930798505
2026-03-17 09:13:45,3082514.8065659488
2026-03-17 09:13:50,3077333.122527653
2026-03-17 09:17:50,3005244.7308291793
2026-03-17 09:19:05,2968789.3215211667
2026-03-17 09:24:45,2955954.417952886
2026-03-17 09:25:05,2949589.5752992546
2026-03-17 09:25:10,2948147.8478887673
2026-03-17 09:27:45,2957743.614023791
2026-03-17 09:30:00,2953061.9481175025
2026-03-17 09:30:05,2925700.8240039665
2026-03-17 09:31:35,2870364.578011957
2026-03-17 09:34:05,2856141.0419335244
2026-03-17 09:46:15,2819108.13619823
2026-03-17 09:46:20,2747923.169782677
2026-03-17 09:48:25,2705072.764448504
2026-03-17 09:48:55,2687517.067578088
2026-03-17 09:49:00,2646145.743852598
2026-03-17 09:54:45,2601543.488883655
2026-03-17 09:59:55,2534587.573527618
2026-03-17 10:03:10,2497981.9791797902
2026-03-17 10:16:05,2325077.066740766
2026-03-17 10:25:15,2283556.6253121966
2026-03-17 10:27:45,2243759.449756221
2026-03-17 10:28:45,2230817.5197675335
2026-03-17 10:29:05,2187264.9938191283
2026-03-17 10:33:35,2167155.0456087957
2026-03-17 10:33:45,2138378.1726994766
2026-03-17 10:34:05,2129381.595020621
2026-03-17 10:34:10,2120397.8305832194
2026-03-17 10:34:15,2111426.7984189233
2026-03-17 10:53:10,2137552.8276368715
2026-03-17 10:53:15,2119135.6180509795
2026-03-17 10:53:20,2115285.245531543
2026-03-17 10:53:45,2102651.6651958013
2026-03-17 11:11:40,2068150.928454732
2026-03-17 11:12:55,1998751.0705504052
2026-03-17 11:28:40,1980407.8772766497
2026-03-17 11:28:45,1976891.2446906778
2026-03-17 11:28:45,1912853.1592246157
2026-03-17 11:33:05,1886069.3322979398
2026-03-17 11:37:30,1824991.5892102756
2026-03-17 11:47:50,1796967.7584179472
2026-03-17 11:52:05,1735751.0149933968
2026-03-17 11:58:10,1697944.710902489
2026-03-17 12:01:15,1692071.9051959673
2026-03-17 12:01:20,1674199.0994894453
2026-03-17 12:01:25,1656368.0345230028
2026-03-17 13:26:10,1629194.8964718827
2026-03-17 13:27:20,1605397.0772926165
2026-03-17 13:35:50,1600118.562478473
2026-03-17 13:35:55,1598058.0305892818
2026-03-17 13:37:35,1600190.7011470625
2026-03-17 13:37:45,1599267.8737270609
2026-03-17 13:39:40,1597180.7618010626
2026-03-17 13:42:25,1555349.4027340068
2026-03-17 14:00:55,1511323.335924847
2026-03-17 14:15:25,1464834.8137330683
2026-03-17 14:19:20,1462202.8332457035
2026-03-17 14:19:25,1459570.8527583387
2026-03-17 14:19:30,1457910.4993017777
2026-03-17 14:19:35,1440017.6404290502
2026-03-17 14:22:40,1397354.3660779058
2026-03-17 14:24:30,1359964.1495927535
2026-03-17 14:26:20,1299092.8145585845
2026-03-17 14:36:50,1278119.2675332688
2026-03-17 14:36:50,1222764.1358244084
2026-03-17 14:39:35,1204930.9937117314
2026-03-17 14:39:45,1153731.9384225341
2026-03-17 14:41:05,1136970.7002413415
2026-03-17 14:45:30,1086523.5941258478
2026-03-17 14:55:45,1065599.7535973052
2026-03-17 14:56:55,1051218.220500183
2026-03-17 14:59:20,1044060.7008585199
2026-03-17 14:59:25,1036909.6855534686
2026-03-17 15:01:50,1057267.4230412277
2026-03-17 15:01:55,1003973.6417817967
2026-03-17 15:02:00,1000316.1068120222
2026-03-17 15:02:20,998560.2821800257
2026-03-17 15:02:25,994535.0556542426
2026-03-17 15:02:30,990510.7354008653
2026-03-17 15:02:35,988766.6053375208
2026-03-17 15:03:55,939279.401481695
2026-03-17 15:07:05,933683.8465165179
2026-03-17 15:07:10,926547.0321921965
2026-03-17 15:10:50,925734.5573340822
2026-03-17 15:13:05,911486.022648032
2026-03-17 15:14:05,891507.2778036701
2026-03-17 15:16:50,865421.0311309604
2026-03-17 15:22:15,824459.6829875282
2026-03-17 15:25:45,842183.8812545729
2026-03-17 15:25:50,837923.1456027583
2026-03-17 15:28:40,728321.7537868165
2026-03-17 15:29:35,726569.2630409796
2026-03-17 15:29:40,724816.7666892149
2026-03-17 15:29:45,724564.5773282675
2026-03-17 15:29:50,725311.6176393428
2026-03-17 15:29:55,734835.9976550904
