,cumulative_net_pnl
2026-03-17 09:00:00,-28400.92695961938
2026-03-17 09:00:25,-96283.77849647764
2026-03-17 09:02:50,-159335.5341770153
2026-03-17 09:09:05,-136580.7905299904
2026-03-17 09:12:05,-158172.18431358616
2026-03-17 09:15:25,-172695.35520363747
2026-03-17 09:55:30,-193407.45144580794
2026-03-17 10:02:00,-257591.29351994098
2026-03-17 10:06:55,-277456.2860447051
2026-03-17 10:19:55,-311035.46513561456
2026-03-17 10:37:45,-330701.7329248598
2026-03-17 10:50:25,-464843.63106001064
2026-03-17 10:51:25,-485840.5070948688
2026-03-17 10:54:05,-499382.2228206751
2026-03-17 11:30:15,-517928.6245547782
2026-03-17 11:35:10,-490499.55877333705
2026-03-17 11:43:35,-509220.02653546433
2026-03-17 11:56:20,-549662.4759425791
2026-03-17 11:56:40,-555687.7912864315
2026-03-17 11:56:45,-561715.6482322437
2026-03-17 11:56:50,-564504.8454147559
2026-03-17 12:10:55,-576690.432645102
2026-03-17 12:18:45,-594863.2046122188
2026-03-17 13:54:50,-646525.4926635213
2026-03-17 13:58:00,-664404.808093471
2026-03-17 14:08:20,-696366.4477355911
2026-03-17 14:18:00,-714393.2813441779
2026-03-17 14:20:05,-743223.4803104558
2026-03-17 14:33:10,-745575.9324516796
2026-03-17 14:43:50,-763107.9275954962
2026-03-17 14:56:55,-915461.1532578487
2026-03-17 14:57:10,-934022.5888453617
2026-03-17 15:23:05,-919424.9667999069
2026-03-17 15:23:10,-934840.5185161543
2026-03-17 15:23:15,-961303.852917563
2026-03-17 15:23:20,-967967.2048977612
2026-03-17 15:23:25,-974625.6821464392
2026-03-17 15:24:40,-983729.7066384174
2026-03-17 15:24:45,-992807.2661603299
2026-03-17 15:24:50,-996350.3761009249
