,cumulative_net_pnl
2026-03-17 09:00:00,-13491.244715298082
2026-03-17 09:00:55,-22908.999431479388
2026-03-17 09:02:25,-33105.111621626434
2026-03-17 09:02:35,-107222.68552055098
2026-03-17 09:02:40,1427462.2404695651
2026-03-17 09:02:55,1427389.8881215611
2026-03-17 09:03:05,1426864.2026481128
2026-03-17 09:03:25,1426790.9183902119
2026-03-17 09:03:30,1426265.4133806783
2026-03-17 09:05:30,1425253.3396028653
2026-03-17 09:05:40,1411354.766257662
2026-03-17 09:05:45,1406123.9672857411
2026-03-17 09:10:00,1249279.4134115921
2026-03-17 09:10:05,1192590.7313694577
2026-03-17 09:11:00,1189713.861895512
2026-03-17 09:11:05,1170650.8237632106
2026-03-17 09:12:50,1172249.6809757967
2026-03-17 09:15:55,1014323.1527189331
2026-03-17 09:21:25,1150057.1562810042
2026-03-17 09:21:40,1285691.4351145444
2026-03-17 09:23:30,1285619.4226914984
2026-03-17 09:23:55,1254972.8916885061
2026-03-17 09:24:00,1240401.4873173062
2026-03-17 09:24:15,1261934.1911518387
2026-03-17 09:25:15,1340946.9125938453
2026-03-17 09:25:20,1322709.583838354
2026-03-17 09:25:25,1277445.6866548334
2026-03-17 09:31:15,1251548.9684673953
2026-03-17 09:36:05,1258615.3757755272
2026-03-17 09:39:55,1227425.1152673182
2026-03-17 09:43:45,1158628.3985787109
2026-03-17 09:46:30,1159156.8018444027
2026-03-17 09:49:15,1131674.6019599964
2026-03-17 09:53:10,1232853.5783624928
2026-03-17 09:53:15,1171167.4517788128
2026-03-17 09:57:10,1169265.0349502808
2026-03-17 09:57:15,1150653.5280551247
2026-03-17 09:59:05,1190808.9733889666
2026-03-17 10:01:10,1189462.175069913
2026-03-17 10:02:30,1159314.2225413595
2026-03-17 10:03:00,1128524.4946198568
2026-03-17 10:05:25,1110490.8175969347
2026-03-17 10:06:00,1056823.068445166
2026-03-17 10:06:05,1023068.7169606033
2026-03-17 10:08:20,1002612.5696496367
2026-03-17 10:08:20,947034.0678888527
2026-03-17 10:09:20,924274.1124886561
2026-03-17 10:16:00,926457.4631801231
2026-03-17 10:16:50,907092.546970776
2026-03-17 10:29:20,805749.7672809253
2026-03-17 10:29:25,788421.0191655401
2026-03-17 10:42:05,770621.4377175611
2026-03-17 10:43:40,686386.7435534466
2026-03-17 10:44:05,663450.5198700607
2026-03-17 10:50:55,638239.1344696896
2026-03-17 11:16:15,620425.9554864974
2026-03-17 11:24:30,566956.5103243993
2026-03-17 11:30:10,567485.2390102632
2026-03-17 11:30:10,567163.0464738351
2026-03-17 11:30:25,567091.7673946838
2026-03-17 11:30:25,566742.2863727695
2026-03-17 11:31:10,566920.9451455348
2026-03-17 11:36:35,566481.2520812312
2026-03-17 11:36:40,565575.4627885955
2026-03-17 11:36:45,565504.184354623
2026-03-17 11:36:50,551035.8269307036
2026-03-17 11:40:55,556406.3881430394
2026-03-17 11:41:00,540118.4241412173
2026-03-17 11:41:05,531298.54714483
2026-03-17 11:42:50,529444.1097034814
2026-03-17 11:43:45,529081.1142105532
2026-03-17 11:43:50,527941.5118452501
2026-03-17 11:44:00,517485.44671498984
2026-03-17 11:45:55,465732.45711341826
2026-03-17 11:48:00,463382.87202929007
2026-03-17 11:48:05,457962.22668343503
2026-03-17 11:48:10,452320.0721425192
2026-03-17 11:52:30,414678.8243055069
2026-03-17 13:24:45,392118.66573247977
2026-03-17 13:25:25,434692.9238269398
2026-03-17 13:32:40,402756.20179319184
2026-03-17 13:32:45,392468.06790193333
2026-03-17 13:35:35,367854.52672695165
2026-03-17 13:35:55,353582.6594059354
2026-03-17 13:36:25,367556.55610007176
2026-03-17 13:37:30,380774.42935893213
2026-03-17 13:38:35,322237.83332040464
2026-03-17 13:38:45,303722.55828404345
2026-03-17 13:38:50,301689.2756314405
2026-03-17 13:39:25,285158.15712093306
2026-03-17 13:40:05,260214.23483033
2026-03-17 15:20:05,-23625.014555654372
