,cumulative_net_pnl
2026-03-17 09:00:00,163165.7016314904
2026-03-17 09:00:05,9901007.429928513
2026-03-17 09:00:10,9933543.769835597
2026-03-17 09:02:45,9933513.755560197
2026-03-17 09:02:50,9903658.8048862
2026-03-17 09:03:05,9860890.2257746
2026-03-17 09:03:25,9846969.28935686
2026-03-17 09:03:30,9841253.144763436
2026-03-17 09:03:35,9841039.528982937
2026-03-17 09:05:20,9838122.85638553
2026-03-17 09:05:45,9862750.64500113
2026-03-17 09:07:15,9860122.588341808
2026-03-17 09:28:45,9858328.513888951
2026-03-17 09:45:25,9857097.472974718
2026-03-17 09:45:30,9833335.864862239
2026-03-17 10:34:50,9851110.136719076
2026-03-17 10:56:30,9819003.543751799
2026-03-17 11:28:45,9790880.48865946
2026-03-17 11:32:20,9789947.514971126
2026-03-17 11:32:25,9788146.189319333
2026-03-17 11:32:30,9787843.406413354
2026-03-17 11:32:35,9787662.722529737
2026-03-17 11:32:40,9787482.038927069
2026-03-17 11:32:45,9787270.952379584
2026-03-17 11:32:50,9787059.871051555
2026-03-17 11:32:55,9786999.973150857
2026-03-17 11:33:35,9811386.202565003
2026-03-17 11:36:15,9836058.616576053
2026-03-17 11:42:55,9830890.258523665
2026-03-17 11:46:20,9806865.409089444
2026-03-17 12:58:05,9806814.770971194
2026-03-17 15:13:10,9804654.8771181
2026-03-17 15:20:05,9796871.383786272
2026-03-17 15:20:05,9791479.071078653
2026-03-17 15:20:10,9711350.513390094
2026-03-17 15:20:35,9721885.698291017
2026-03-17 15:21:40,9860755.534376115
2026-03-17 15:25:00,9825186.135805156
2026-03-17 15:28:00,9824904.755717095
2026-03-17 15:28:20,9810938.506554145
2026-03-17 15:28:30,9792047.696974004
2026-03-17 15:29:30,9791957.18227702
