,cumulative_net_pnl
2026-03-17 09:00:00,-18816.18984686957
2026-03-17 09:00:10,34201.512193373645
2026-03-17 09:03:10,-45842.89551799392
2026-03-17 09:15:10,-56624.20241915806
2026-03-17 09:15:15,-67399.20005764373
2026-03-17 09:17:10,-21435.73072522696
2026-03-17 09:17:20,-32744.94455358383
2026-03-17 09:19:00,-41886.36787053925
2026-03-17 09:20:55,-70223.4868501487
2026-03-17 09:28:10,-95937.833239604
2026-03-17 09:30:00,-104939.3791071432
2026-03-17 09:31:15,-131602.61236759473
2026-03-17 09:34:30,-167673.55509526766
2026-03-17 09:36:30,-194588.3186888489
2026-03-17 09:40:40,-255597.82426733663
2026-03-17 09:41:40,-281475.87257820833
2026-03-17 09:48:55,-328354.90314647
2026-03-17 09:49:00,-357158.40307345084
2026-03-17 09:50:10,-358140.1284489066
2026-03-17 11:19:40,-364088.29498289037
2026-03-17 11:50:25,-378101.5964773107
2026-03-17 11:50:30,-383136.31548487034
2026-03-17 11:51:30,-439016.7600011008
2026-03-17 12:07:15,-460869.0924606218
2026-03-17 12:15:10,-439717.74200330186
2026-03-17 12:21:30,-461954.85016600427
2026-03-17 12:33:50,-403372.8437197788
2026-03-17 12:33:55,-413417.834158574
2026-03-17 12:40:15,-447813.96392425377
2026-03-17 13:01:05,-439815.7269327773
2026-03-17 13:10:45,-461145.23871685966
2026-03-17 13:31:35,-440394.18829000834
2026-03-17 15:20:10,-493054.12374024664
2026-03-17 15:20:10,-510751.3421028968
2026-03-17 15:20:15,-372660.46835635987
2026-03-17 15:25:45,-403611.1651922029
2026-03-17 15:28:30,-521132.2859925299
