,cumulative_net_pnl
2026-03-13 10:13:00,-5558.501423861519
2026-03-13 10:17:55,-11256.057214758315
2026-03-13 10:17:55,19772384.456035163
2026-03-13 10:17:55,39556024.969285086
2026-03-13 10:17:55,59339665.482535005
2026-03-13 10:17:55,79123305.99578492
2026-03-13 10:23:15,79046493.46257444
2026-03-13 10:23:20,78900734.55990626
2026-03-13 10:26:15,78925213.912307
2026-03-13 10:26:15,78934745.32552938
2026-03-13 10:26:15,78929386.50670072
2026-03-13 10:26:15,78909113.77005982
2026-03-13 10:26:15,78873806.53354959
2026-03-13 10:27:10,78821444.24100602
2026-03-13 10:27:10,78721086.44046965
2026-03-13 10:27:10,78572733.13194051
2026-03-13 10:27:10,78376384.31541859
2026-03-13 10:27:10,78132039.99090388
2026-03-13 10:27:20,77857169.34144771
2026-03-13 10:27:20,77609874.60612682
2026-03-13 10:28:10,77424123.26950587
2026-03-13 10:29:30,77235798.27824372
2026-03-13 10:30:10,77216160.0366003
2026-03-13 10:30:10,77192246.57600333
2026-03-13 10:30:10,77165012.3431694
2026-03-13 10:39:35,77133493.0698352
2026-03-13 10:41:40,77091476.76700187
2026-03-13 10:59:30,77571426.50580102
2026-03-13 10:59:35,78001688.15712881
2026-03-13 11:00:45,78214645.92218804
2026-03-13 11:01:50,78594049.27389327
2026-03-13 11:01:50,78877280.95395805
2026-03-13 11:15:10,79122881.04088983
2026-03-13 11:15:15,79311703.52210367
2026-03-13 13:00:45,79118229.03505357
2026-03-13 13:01:35,78866381.90518132
2026-03-13 13:01:35,78601075.77146256
2026-03-13 13:01:35,78322310.63389729
2026-03-13 14:33:55,77917594.33691384
2026-03-13 14:34:05,77709735.53939658
2026-03-13 14:34:05,77545474.02741782
2026-03-13 14:34:35,77412125.162061
2026-03-13 14:34:35,77267910.34627052
2026-03-13 14:34:35,77112829.58004636
2026-03-13 14:34:35,76946882.86338854
2026-03-13 14:34:35,76770070.19629705
2026-03-13 14:58:50,76482486.93603575
2026-03-13 14:58:55,76363808.74182627
2026-03-13 15:00:10,76177878.28666562
