,cumulative_net_pnl
2026-03-13 10:13:00,-5558.501423861519
2026-03-13 10:14:50,-65493.17268497881
2026-03-13 10:14:50,19663910.225094724
2026-03-13 10:14:50,39393313.622874424
2026-03-13 10:14:50,59122717.02065413
2026-03-13 10:14:50,78852120.41843383
2026-03-13 10:15:25,78785851.63744573
2026-03-13 10:16:00,78671184.3791978
2026-03-13 10:23:15,78845285.56735027
2026-03-13 10:26:15,79186679.56622896
2026-03-13 10:26:15,79448343.53098415
2026-03-13 10:26:15,79629402.39164346
2026-03-13 10:27:10,79719833.92322662
2026-03-13 10:27:10,79769441.69043955
2026-03-13 10:27:10,79778225.69328225
2026-03-13 10:27:10,79746185.93175471
2026-03-13 10:27:10,79673322.40585692
2026-03-13 10:27:20,79574673.01736593
2026-03-13 10:27:20,79431926.57751814
2026-03-13 10:28:10,79265523.96017823
2026-03-13 10:30:10,79306426.70978181
2026-03-13 10:35:10,79483584.16373312
2026-03-13 10:55:00,79656578.57832088
2026-03-13 10:55:20,79701286.80970018
2026-03-13 10:57:00,79850378.25710303
2026-03-13 10:57:00,79955135.85534084
2026-03-13 10:57:00,80013383.19969848
2026-03-13 10:57:10,80040178.44237666
2026-03-13 10:57:10,80034351.78851593
2026-03-13 10:57:45,79967953.07657902
2026-03-13 10:57:45,79871250.71872494
2026-03-13 10:57:45,79752858.8663131
2026-03-13 10:57:45,79633593.67806411
2026-03-13 10:57:45,118671550.38635403
2026-03-13 10:57:55,118620393.87917861
2026-03-13 10:57:55,118522994.51911308
2026-03-13 10:59:05,118542454.47778368
2026-03-13 11:00:45,118500503.3073009
2026-03-13 11:01:50,118790652.34980376
2026-03-13 11:06:15,119334560.75002488
2026-03-13 11:06:15,119864827.11228667
2026-03-13 11:06:25,120379604.33520183
2026-03-13 11:06:25,120751573.61946386
2026-03-13 11:07:30,121084630.16047223
2026-03-13 11:07:55,121319912.49730411
2026-03-13 11:07:55,121540385.3189909
2026-03-13 11:08:00,121803005.16539255
2026-03-13 11:11:50,122411630.75027607
2026-03-13 11:11:50,122941748.22557266
2026-03-13 11:11:50,123391313.54114504
2026-03-13 11:11:50,123756361.4908907
2026-03-13 11:11:50,124044215.41540161
2026-03-13 11:13:25,124160608.28365988
2026-03-13 11:13:25,124220558.51708667
